date;The Gambia;Premier League;Wolverhampton Wanderers;Blackpool;air travel;isPartial
2022-01-01;0;86;0;12;0;False
2022-01-02;0;86;0;10;0;False
2022-01-03;0;49;0;9;0;False
2022-01-04;0;19;0;9;0;False
2022-01-05;0;15;0;8;1;False
2022-01-06;0;11;0;8;0;False
2022-01-07;0;13;0;8;0;False
2022-01-08;0;19;0;10;0;False
2022-01-09;0;17;0;9;0;False
2022-01-10;0;12;0;8;1;False
2022-01-11;0;15;0;8;0;False
2022-01-12;0;19;0;8;0;False
2022-01-13;0;17;0;7;1;False
2022-01-14;0;23;0;8;1;False
2022-01-15;0;91;1;9;0;False
2022-01-16;0;63;0;9;1;False
2022-01-17;0;19;0;8;0;False
2022-01-18;0;26;0;7;0;False
2022-01-19;0;39;0;7;0;False
2022-01-20;0;24;0;7;0;False
2022-01-21;0;30;0;8;0;False
2022-01-22;0;100;0;10;0;False
2022-01-23;0;81;1;8;0;False
2022-01-24;0;24;0;9;0;False
2022-01-25;0;13;0;7;0;False
2022-01-26;0;13;0;7;0;False
2022-01-27;0;10;0;8;0;False
2022-01-28;0;12;0;8;0;False
2022-01-29;0;23;0;12;0;False
2022-01-30;0;14;0;8;0;False
2022-01-31;0;12;0;9;1;False
