date;Indie;Anime;Francis Bacon;Royal Academy of Arts;air travel;isPartial
2022-01-01;10;76;1;0;2;False
2022-01-02;8;83;0;0;4;False
2022-01-03;7;75;2;0;4;False
2022-01-04;7;72;2;0;5;False
2022-01-05;8;67;2;1;5;False
2022-01-06;5;60;0;0;4;False
2022-01-07;9;69;1;0;5;False
2022-01-08;8;77;1;0;4;False
2022-01-09;7;91;1;1;4;False
2022-01-10;7;62;1;0;6;False
2022-01-11;5;60;2;0;4;False
2022-01-12;6;57;0;0;4;False
2022-01-13;5;63;1;0;5;False
2022-01-14;8;62;1;1;5;False
2022-01-15;7;88;2;1;4;False
2022-01-16;8;93;2;0;5;False
2022-01-17;6;60;0;1;3;False
2022-01-18;5;53;1;1;4;False
2022-01-19;6;56;1;1;4;False
2022-01-20;6;57;1;1;3;False
2022-01-21;7;59;1;0;3;False
2022-01-22;8;78;1;0;4;False
2022-01-23;7;100;2;0;4;False
2022-01-24;7;75;2;1;6;False
2022-01-25;6;61;1;1;3;False
2022-01-26;7;60;2;1;4;False
2022-01-27;6;54;4;0;4;False
2022-01-28;8;61;3;2;3;False
2022-01-29;9;85;2;1;3;False
2022-01-30;8;88;4;1;5;False
2022-01-31;7;67;3;1;5;False
