date;Martin Carthy;Norma Waterson;Eliza Carthy;Comedy;air travel;isPartial
2022-01-01;0;0;0;100;4;False
2022-01-02;0;1;0;70;8;False
2022-01-03;0;0;0;61;7;False
2022-01-04;0;0;2;59;6;False
2022-01-05;1;0;1;50;10;False
2022-01-06;1;0;0;52;8;False
2022-01-07;0;0;0;73;8;False
2022-01-08;0;0;1;69;8;False
2022-01-09;0;0;0;74;5;False
2022-01-10;0;0;0;62;12;False
2022-01-11;1;0;0;66;8;False
2022-01-12;1;1;1;62;8;False
2022-01-13;4;0;0;56;10;False
2022-01-14;0;0;1;63;9;False
2022-01-15;0;0;0;81;9;False
2022-01-16;0;0;2;75;10;False
2022-01-17;0;1;1;58;6;False
2022-01-18;0;0;1;50;8;False
2022-01-19;0;2;1;48;9;False
2022-01-20;0;0;0;54;6;False
2022-01-21;0;0;0;63;4;False
2022-01-22;0;0;0;88;7;False
2022-01-23;0;0;0;74;8;False
2022-01-24;0;0;1;73;10;False
2022-01-25;0;0;0;60;6;False
2022-01-26;0;0;1;60;8;False
2022-01-27;0;0;0;61;7;False
2022-01-28;0;0;0;73;6;False
2022-01-29;1;0;1;89;7;False
2022-01-30;0;0;0;72;9;False
2022-01-31;0;12;2;61;11;False
