date;Models;Kojey Radical;Rap;Hip-hop;air travel;isPartial
2022-01-01;79;0;35;1;4;False
2022-01-02;86;1;33;1;10;False
2022-01-03;89;0;22;1;6;False
2022-01-04;95;0;26;0;7;False
2022-01-05;88;0;27;0;11;False
2022-01-06;86;0;24;0;9;False
2022-01-07;85;0;30;0;10;False
2022-01-08;90;1;30;0;9;False
2022-01-09;92;0;29;1;7;False
2022-01-10;91;2;33;1;12;False
2022-01-11;92;0;29;0;9;False
2022-01-12;91;0;33;0;10;False
2022-01-13;89;3;31;1;12;False
2022-01-14;86;0;32;0;11;False
2022-01-15;94;1;38;1;11;False
2022-01-16;98;0;32;0;11;False
2022-01-17;92;0;25;0;8;False
2022-01-18;84;1;24;1;9;False
2022-01-19;76;0;22;0;10;False
2022-01-20;80;2;24;0;6;False
2022-01-21;80;0;28;0;5;False
2022-01-22;87;0;33;0;8;False
2022-01-23;84;0;32;0;10;False
2022-01-24;100;0;27;0;11;False
2022-01-25;81;1;26;0;7;False
2022-01-26;81;2;32;0;9;False
2022-01-27;87;1;23;0;8;False
2022-01-28;86;1;33;0;7;False
2022-01-29;85;0;30;0;6;False
2022-01-30;87;0;30;1;10;False
2022-01-31;86;0;27;1;11;False
