date;United Kingdom holidays;Georgia;Japanese food and drink;Japan;air travel;isPartial
2022-01-01;1;82;0;86;3;False
2022-01-02;3;51;0;80;7;False
2022-01-03;0;41;0;78;6;False
2022-01-04;0;42;0;83;8;False
2022-01-05;1;40;0;81;8;False
2022-01-06;0;34;0;74;7;False
2022-01-07;0;38;0;86;8;False
2022-01-08;0;38;0;79;7;False
2022-01-09;1;36;0;84;7;False
2022-01-10;0;35;0;87;10;False
2022-01-11;1;50;0;85;7;False
2022-01-12;0;39;0;79;8;False
2022-01-13;0;35;0;82;10;False
2022-01-14;0;31;0;76;8;False
2022-01-15;0;39;0;88;7;False
2022-01-16;0;36;0;89;9;False
2022-01-17;1;35;0;87;5;False
2022-01-18;1;29;0;78;7;False
2022-01-19;0;31;0;75;7;False
2022-01-20;0;39;0;70;5;False
2022-01-21;0;40;0;74;4;False
2022-01-22;0;47;0;92;7;False
2022-01-23;1;47;0;100;7;False
2022-01-24;0;44;0;90;10;False
2022-01-25;1;40;0;73;6;False
2022-01-26;0;34;0;76;8;False
2022-01-27;0;30;0;81;6;False
2022-01-28;1;34;0;78;6;False
2022-01-29;0;38;0;77;6;False
2022-01-30;0;39;0;87;9;False
2022-01-31;0;32;0;79;9;False
