date;Nick Kyrgios;Curling;Team GB;Everton;air travel;isPartial
2022-01-01;0;3;0;29;1;False
2022-01-02;1;4;1;67;2;False
2022-01-03;0;4;0;26;1;False
2022-01-04;0;4;0;29;1;False
2022-01-05;0;3;1;22;2;False
2022-01-06;0;3;1;21;1;False
2022-01-07;0;3;0;23;1;False
2022-01-08;0;4;0;73;2;False
2022-01-09;0;4;0;32;1;False
2022-01-10;1;3;0;22;2;False
2022-01-11;0;3;1;23;2;False
2022-01-12;0;3;1;23;2;False
2022-01-13;0;3;0;27;2;False
2022-01-14;0;3;1;26;2;False
2022-01-15;1;4;1;81;2;False
2022-01-16;1;4;0;75;2;False
2022-01-17;0;3;0;44;1;False
2022-01-18;3;2;0;35;2;False
2022-01-19;1;3;0;29;2;False
2022-01-20;5;3;1;29;1;False
2022-01-21;1;4;1;25;1;False
2022-01-22;1;4;0;100;1;False
2022-01-23;1;3;1;31;2;False
2022-01-24;1;3;1;32;2;False
2022-01-25;2;3;0;26;1;False
2022-01-26;2;3;1;32;1;False
2022-01-27;1;3;0;32;2;False
2022-01-28;1;4;1;44;1;False
2022-01-29;5;4;0;48;2;False
2022-01-30;1;4;1;53;2;False
2022-01-31;1;3;0;59;2;False
