date;Women's coats and jackets;Women's dresses;Women's shoes;Women's suits;air travel;isPartial
2022-01-01;0;26;89;8;9;False
2022-01-02;0;22;100;10;26;False
2022-01-03;0;26;97;11;24;False
2022-01-04;0;24;77;4;28;False
2022-01-05;6;16;67;11;29;False
2022-01-06;6;17;76;6;23;False
2022-01-07;0;28;67;8;26;False
2022-01-08;2;26;84;8;28;False
2022-01-09;0;31;97;12;23;False
2022-01-10;0;22;69;6;37;False
2022-01-11;0;26;73;7;28;False
2022-01-12;0;28;79;5;30;False
2022-01-13;0;16;70;12;34;False
2022-01-14;0;30;69;12;33;False
2022-01-15;0;36;91;12;27;False
2022-01-16;0;47;90;11;30;False
2022-01-17;5;20;63;10;23;False
2022-01-18;6;30;53;7;26;False
2022-01-19;3;21;49;10;30;False
2022-01-20;0;24;65;7;22;False
2022-01-21;0;23;77;11;19;False
2022-01-22;0;34;88;11;18;False
2022-01-23;0;40;75;12;32;False
2022-01-24;0;26;77;11;35;False
2022-01-25;0;27;63;5;20;False
2022-01-26;0;26;70;0;27;False
2022-01-27;2;25;67;9;24;False
2022-01-28;0;27;69;12;24;False
2022-01-29;0;22;95;10;22;False
2022-01-30;2;34;92;18;30;False
2022-01-31;0;24;57;8;33;False
