date;Weekend breaks;Sussex holidays;Sex trafficking;Ghislaine Maxwell;air travel;isPartial
2022-01-01;25;3;1;100;6;False
2022-01-02;24;1;3;85;12;False
2022-01-03;27;3;3;78;10;False
2022-01-04;22;4;0;64;9;False
2022-01-05;23;2;2;45;15;False
2022-01-06;18;1;2;44;12;False
2022-01-07;20;3;0;35;12;False
2022-01-08;22;2;1;28;12;False
2022-01-09;33;0;0;26;7;False
2022-01-10;27;3;1;20;18;False
2022-01-11;29;2;0;26;12;False
2022-01-12;23;4;4;28;13;False
2022-01-13;24;1;0;30;15;False
2022-01-14;21;4;0;30;14;False
2022-01-15;24;3;2;25;14;False
2022-01-16;39;5;1;26;15;False
2022-01-17;25;4;4;19;9;False
2022-01-18;23;3;3;64;12;False
2022-01-19;24;2;2;39;14;False
2022-01-20;21;0;0;26;9;False
2022-01-21;25;2;1;16;7;False
2022-01-22;25;1;1;17;10;False
2022-01-23;28;2;0;15;12;False
2022-01-24;25;3;3;19;16;False
2022-01-25;21;2;1;16;9;False
2022-01-26;16;1;0;11;12;False
2022-01-27;21;2;1;10;10;False
2022-01-28;19;1;1;9;9;False
2022-01-29;27;1;1;9;11;False
2022-01-30;32;2;0;12;14;False
2022-01-31;19;2;1;8;16;False
