date;carbon footprint;carbon neutrality;pfizer;financial conduct authority (fca);air travel;isPartial
2022-01-01;6;2;66;0;8;False
2022-01-02;7;0;74;0;15;False
2022-01-03;5;0;89;1;13;False
2022-01-04;6;0;94;0;11;False
2022-01-05;14;0;100;0;19;False
2022-01-06;6;0;94;0;15;False
2022-01-07;5;3;89;0;15;False
2022-01-08;4;0;95;1;15;False
2022-01-09;4;0;72;0;9;False
2022-01-10;10;1;87;0;23;False
2022-01-11;9;0;68;2;16;False
2022-01-12;15;1;72;1;16;False
2022-01-13;10;0;80;0;19;False
2022-01-14;5;1;58;0;18;False
2022-01-15;4;0;59;0;17;False
2022-01-16;4;0;56;1;19;False
2022-01-17;7;0;64;1;11;False
2022-01-18;11;0;58;0;15;False
2022-01-19;9;2;50;0;17;False
2022-01-20;8;0;58;0;11;False
2022-01-21;11;0;44;0;9;False
2022-01-22;4;0;41;2;12;False
2022-01-23;4;0;41;0;15;False
2022-01-24;10;0;48;0;20;False
2022-01-25;9;0;49;0;12;False
2022-01-26;8;0;41;0;15;False
2022-01-27;10;3;49;0;13;False
2022-01-28;8;0;45;0;11;False
2022-01-29;3;0;33;0;14;False
2022-01-30;4;0;41;0;17;False
2022-01-31;9;0;44;0;21;False
