date;uighurs;companies;silicon valley;fraud;air travel;isPartial
2022-01-01;0;32;1;5;1;False
2022-01-02;0;38;0;7;2;False
2022-01-03;0;45;1;7;2;False
2022-01-04;0;84;3;12;2;False
2022-01-05;0;84;1;13;3;False
2022-01-06;0;82;1;10;2;False
2022-01-07;0;74;1;10;2;False
2022-01-08;0;45;1;7;2;False
2022-01-09;0;45;1;8;1;False
2022-01-10;0;96;1;14;3;False
2022-01-11;0;91;1;12;2;False
2022-01-12;0;89;1;11;2;False
2022-01-13;0;92;1;12;3;False
2022-01-14;0;73;1;10;2;False
2022-01-15;0;46;1;7;2;False
2022-01-16;0;48;1;7;3;False
2022-01-17;0;86;0;12;2;False
2022-01-18;0;92;1;12;2;False
2022-01-19;0;85;1;10;2;False
2022-01-20;0;84;1;9;1;False
2022-01-21;0;77;1;10;1;False
2022-01-22;0;44;0;9;2;False
2022-01-23;0;45;1;7;2;False
2022-01-24;1;100;1;12;3;False
2022-01-25;0;92;1;12;2;False
2022-01-26;1;84;0;10;2;False
2022-01-27;1;81;1;11;2;False
2022-01-28;0;80;1;13;1;False
2022-01-29;0;42;0;8;2;False
2022-01-30;0;47;1;7;2;False
2022-01-31;0;92;0;12;3;False
