date;connecticut;Starbucks;vaccination;Young Fathers;air travel;isPartial
2022-01-02;4;68;100;0;7;False
2022-01-09;4;59;79;0;8;False
2022-01-16;3;57;74;0;6;False
2022-01-23;4;61;74;0;7;False
2022-01-30;4;58;60;0;7;False
2022-02-06;3;57;51;0;8;False
2022-02-13;4;55;44;0;8;False
2022-02-20;3;58;38;0;8;False
2022-02-27;3;58;39;0;7;False
2022-03-06;3;68;39;0;7;False
2022-03-13;3;64;38;0;7;False
2022-03-20;3;69;51;0;7;False
2022-03-27;3;58;49;0;7;False
2022-04-03;3;60;52;0;7;False
2022-04-10;3;70;43;0;6;False
2022-04-17;4;72;40;0;6;False
2022-04-24;5;64;43;0;7;False
2022-05-01;4;75;39;0;7;False
2022-05-08;4;74;37;0;7;False
2022-05-15;3;72;36;0;7;False
2022-05-22;4;64;32;0;7;False
2022-05-29;3;76;28;1;7;False
2022-06-05;3;66;30;0;8;False
2022-06-12;3;73;29;0;7;False
2022-06-19;4;67;33;0;6;False
2022-06-26;3;63;30;0;7;False
2022-07-03;4;73;31;0;7;False
2022-07-10;3;80;32;1;7;False
2022-07-17;3;79;25;1;7;False
2022-07-24;4;72;26;0;7;False
2022-07-31;3;78;25;0;6;False
2022-08-07;4;70;24;0;6;False
2022-08-14;3;68;22;0;6;False
2022-08-21;4;75;22;0;5;False
2022-08-28;4;87;24;0;6;False
2022-09-04;3;83;31;0;6;False
2022-09-11;5;69;47;0;5;False
2022-09-18;3;91;39;0;5;False
2022-09-25;4;74;49;0;5;False
2022-10-02;3;76;38;0;5;False
2022-10-09;3;73;41;0;5;False
2022-10-16;4;71;34;1;4;False
2022-10-23;3;76;29;1;4;False
2022-10-30;3;83;25;1;4;False
2022-11-06;3;84;24;0;5;False
2022-11-13;3;77;22;1;4;False
2022-11-20;3;66;19;0;5;False
2022-11-27;3;72;20;0;5;False
2022-12-04;3;81;18;1;4;False
2022-12-11;3;76;16;1;4;False
2022-12-18;3;73;15;0;4;False
2022-12-25;4;75;13;0;5;False
2023-01-01;4;71;19;0;6;False
2023-01-08;3;55;18;1;6;False
2023-01-15;3;55;16;1;5;False
2023-01-22;3;62;16;1;5;False
2023-01-29;3;64;15;3;5;False
