date;storycast;Sonia Boyce;technology;Pakistan cricket team;air travel;isPartial
2022-01-02;0;0;77;0;11;False
2022-01-09;0;0;86;0;12;False
2022-01-16;0;0;90;0;9;False
2022-01-23;0;0;100;0;10;False
2022-01-30;0;0;88;0;11;False
2022-02-06;0;0;90;0;11;False
2022-02-13;0;0;94;0;11;False
2022-02-20;0;0;90;0;12;False
2022-02-27;0;0;91;0;10;False
2022-03-06;0;0;98;1;11;False
2022-03-13;0;0;97;1;11;False
2022-03-20;0;0;93;1;10;False
2022-03-27;0;0;99;1;11;False
2022-04-03;0;0;85;0;10;False
2022-04-10;0;0;66;0;9;False
2022-04-17;0;0;80;0;10;False
2022-04-24;0;2;92;0;10;False
2022-05-01;0;1;91;0;10;False
2022-05-08;0;0;98;0;11;False
2022-05-15;0;0;91;0;11;False
2022-05-22;0;0;88;0;10;False
2022-05-29;0;0;55;0;11;False
2022-06-05;0;0;91;1;12;False
2022-06-12;0;0;86;0;10;False
2022-06-19;0;0;80;0;10;False
2022-06-26;0;0;69;1;10;False
2022-07-03;0;0;75;0;11;False
2022-07-10;0;0;70;0;11;False
2022-07-17;0;0;74;1;11;False
2022-07-24;0;0;62;1;11;False
2022-07-31;0;0;60;0;9;False
2022-08-07;0;0;65;0;9;False
2022-08-14;0;0;60;1;9;False
2022-08-21;0;0;68;1;8;False
2022-08-28;0;0;62;2;9;False
2022-09-04;0;0;82;3;9;False
2022-09-11;0;0;86;3;8;False
2022-09-18;0;0;78;3;8;False
2022-09-25;0;0;91;3;8;False
2022-10-02;0;0;87;3;8;False
2022-10-09;0;0;86;2;7;False
2022-10-16;0;0;87;2;7;False
2022-10-23;0;0;78;3;6;False
2022-10-30;0;0;91;2;6;False
2022-11-06;0;1;92;4;7;False
2022-11-13;0;0;97;3;6;False
2022-11-20;0;0;85;1;7;False
2022-11-27;0;0;88;2;7;False
2022-12-04;0;0;86;2;6;False
2022-12-11;0;0;79;1;6;False
2022-12-18;0;0;52;1;6;False
2022-12-25;0;0;40;2;8;False
2023-01-01;0;0;71;2;9;False
2023-01-08;0;0;91;1;8;False
2023-01-15;0;0;96;1;8;False
2023-01-22;0;0;94;0;7;False
2023-01-29;0;0;98;1;8;False
