date;Privacy;noel gallagher;Euro;National Grid;air travel;isPartial
2022-01-02;3;1;37;1;1;False
2022-01-09;3;1;38;2;1;False
2022-01-16;3;1;42;2;1;False
2022-01-23;3;1;40;2;1;False
2022-01-30;3;1;47;2;1;False
2022-02-06;3;1;42;2;1;False
2022-02-13;3;1;36;2;1;False
2022-02-20;2;1;43;2;1;False
2022-02-27;3;1;46;2;1;False
2022-03-06;2;1;51;2;1;False
2022-03-13;3;1;45;2;1;False
2022-03-20;3;1;51;2;1;False
2022-03-27;3;1;44;2;1;False
2022-04-03;2;1;48;2;1;False
2022-04-10;3;1;48;2;1;False
2022-04-17;3;1;45;1;1;False
2022-04-24;3;1;51;1;1;False
2022-05-01;3;1;54;1;1;False
2022-05-08;3;1;59;2;1;False
2022-05-15;3;1;55;2;1;False
2022-05-22;3;2;51;2;1;False
2022-05-29;2;2;52;1;1;False
2022-06-05;3;2;57;2;1;False
2022-06-12;3;2;58;1;1;False
2022-06-19;3;7;58;1;1;False
2022-06-26;2;3;57;2;1;False
2022-07-03;2;1;78;1;1;False
2022-07-10;3;1;100;2;1;False
2022-07-17;2;1;92;1;1;False
2022-07-24;3;1;100;1;1;False
2022-07-31;2;1;99;2;1;False
2022-08-07;3;1;51;2;1;False
2022-08-14;2;1;52;2;1;False
2022-08-21;2;1;54;2;1;False
2022-08-28;2;1;54;1;1;False
2022-09-04;2;1;58;2;1;False
2022-09-11;2;1;55;2;1;False
2022-09-18;2;1;57;1;1;False
2022-09-25;2;0;80;2;1;False
2022-10-02;2;0;61;3;1;False
2022-10-09;2;0;61;2;1;False
2022-10-16;2;1;58;3;1;False
2022-10-23;2;1;59;2;1;False
2022-10-30;2;1;50;3;1;False
2022-11-06;2;1;47;2;1;False
2022-11-13;2;1;50;2;1;False
2022-11-20;2;1;55;3;1;False
2022-11-27;2;1;48;3;1;False
2022-12-04;2;1;48;2;1;False
2022-12-11;2;1;48;2;1;False
2022-12-18;2;1;47;2;1;False
2022-12-25;2;1;41;1;1;False
2023-01-01;2;1;44;2;1;False
2023-01-08;2;2;42;2;1;False
2023-01-15;3;3;45;2;1;False
2023-01-22;3;2;45;4;1;False
2023-01-29;3;1;50;2;1;False
