date;Tristram Hunt;Jacob Rees-Mogg;Roman Britain;Freedom of speech;air travel;isPartial
2022-01-02;0;2;24;7;87;False
2022-01-09;1;11;26;6;100;False
2022-01-16;2;3;16;5;74;False
2022-01-23;0;12;18;9;82;False
2022-01-30;2;6;18;8;94;False
2022-02-06;3;11;13;13;93;False
2022-02-13;1;2;14;8;94;False
2022-02-20;0;3;15;7;95;False
2022-02-27;1;2;17;12;83;False
2022-03-06;2;0;18;11;88;False
2022-03-13;0;2;13;11;87;False
2022-03-20;0;2;15;9;85;False
2022-03-27;0;2;11;8;90;False
2022-04-03;1;2;10;7;84;False
2022-04-10;1;3;12;5;71;False
2022-04-17;0;10;22;9;78;False
2022-04-24;0;8;13;16;82;False
2022-05-01;4;6;15;14;84;False
2022-05-08;1;8;11;10;87;False
2022-05-15;0;4;16;9;90;False
2022-05-22;1;4;11;11;85;False
2022-05-29;0;0;10;8;87;False
2022-06-05;0;5;14;9;97;False
2022-06-12;0;2;17;10;87;False
2022-06-19;2;2;11;10;79;False
2022-06-26;2;2;9;14;85;False
2022-07-03;0;27;10;7;89;False
2022-07-10;0;13;14;8;92;False
2022-07-17;0;5;8;8;88;False
2022-07-24;1;5;7;2;87;False
2022-07-31;0;4;5;7;78;False
2022-08-07;0;2;9;6;76;False
2022-08-14;1;2;11;9;75;False
2022-08-21;0;2;9;6;65;False
2022-08-28;2;4;10;6;72;False
2022-09-04;2;32;14;12;77;False
2022-09-11;1;4;15;19;67;False
2022-09-18;0;13;13;10;66;False
2022-09-25;1;6;18;10;66;False
2022-10-02;2;14;13;7;63;False
2022-10-09;0;18;17;10;62;False
2022-10-16;0;17;17;9;55;False
2022-10-23;0;56;11;12;52;False
2022-10-30;1;3;16;7;51;False
2022-11-06;0;2;16;11;58;False
2022-11-13;1;3;12;11;48;False
2022-11-20;0;5;13;8;60;False
2022-11-27;1;2;14;12;59;False
2022-12-04;0;1;11;12;50;False
2022-12-11;0;3;15;11;52;False
2022-12-18;1;1;7;7;48;False
2022-12-25;0;1;7;4;64;False
2023-01-01;0;0;17;7;74;False
2023-01-08;1;3;15;11;69;False
2023-01-15;1;2;17;14;67;False
2023-01-22;1;4;15;14;62;False
2023-01-29;1;4;16;9;67;False
