date;merseyside;Drones (military);Winter sports holidays;Gavin Newsom;air travel;isPartial
2022-01-02;63;1;0;2;38;False
2022-01-09;69;0;0;1;44;False
2022-01-16;63;1;0;1;32;False
2022-01-23;70;0;0;1;36;False
2022-01-30;67;1;1;0;41;False
2022-02-06;64;0;0;0;40;False
2022-02-13;70;0;0;0;41;False
2022-02-20;72;4;0;0;41;False
2022-02-27;71;3;0;0;36;False
2022-03-06;62;2;0;1;38;False
2022-03-13;64;2;0;0;38;False
2022-03-20;66;3;0;0;37;False
2022-03-27;64;0;0;1;39;False
2022-04-03;67;1;0;0;36;False
2022-04-10;63;2;0;0;31;False
2022-04-17;59;1;0;0;34;False
2022-04-24;66;0;0;1;36;False
2022-05-01;61;1;0;1;37;False
2022-05-08;58;1;0;1;38;False
2022-05-15;60;1;0;1;39;False
2022-05-22;58;1;0;1;37;False
2022-05-29;61;1;0;0;38;False
2022-06-05;60;1;1;0;42;False
2022-06-12;60;0;0;1;38;False
2022-06-19;57;0;0;2;34;False
2022-06-26;65;1;0;1;37;False
2022-07-03;60;1;0;2;39;False
2022-07-10;69;1;1;2;40;False
2022-07-17;69;0;0;2;38;False
2022-07-24;66;1;0;2;38;False
2022-07-31;67;1;0;1;34;False
2022-08-07;68;1;0;1;33;False
2022-08-14;66;0;0;2;33;False
2022-08-21;89;1;0;1;28;False
2022-08-28;81;0;0;0;31;False
2022-09-04;66;1;0;1;34;False
2022-09-11;61;1;0;0;29;False
2022-09-18;56;1;1;1;29;False
2022-09-25;65;1;0;2;29;False
2022-10-02;65;0;0;1;28;False
2022-10-09;57;1;1;1;27;False
2022-10-16;59;2;0;1;24;False
2022-10-23;59;1;0;1;22;False
2022-10-30;58;0;0;1;22;False
2022-11-06;60;1;0;3;25;False
2022-11-13;50;2;0;3;21;False
2022-11-20;52;1;0;0;26;False
2022-11-27;50;1;0;1;26;False
2022-12-04;51;0;0;0;22;False
2022-12-11;52;1;1;1;22;False
2022-12-18;53;1;0;1;21;False
2022-12-25;100;1;0;1;28;False
2023-01-01;60;0;0;1;32;False
2023-01-08;65;0;0;1;30;False
2023-01-15;66;1;1;1;29;False
2023-01-22;59;1;0;2;27;False
2023-01-29;63;1;0;1;29;False
