date;Adventure travel;Jimmy Kimmel;Independent Commission Against Corruption;Heathrow airport;air travel;isPartial
2022-01-02;2;2;0;56;19;False
2022-01-09;1;3;0;54;22;False
2022-01-16;1;2;0;54;17;False
2022-01-23;2;3;0;54;18;False
2022-01-30;2;3;0;58;21;False
2022-02-06;2;3;0;58;21;False
2022-02-13;2;3;0;84;21;False
2022-02-20;2;3;0;75;21;False
2022-02-27;2;3;0;65;19;False
2022-03-06;1;2;0;63;20;False
2022-03-13;1;3;0;65;19;False
2022-03-20;2;2;0;66;19;False
2022-03-27;2;5;0;70;20;False
2022-04-03;2;6;0;86;19;False
2022-04-10;2;3;0;74;16;False
2022-04-17;3;3;0;64;18;False
2022-04-24;2;3;0;65;18;False
2022-05-01;3;3;0;69;19;False
2022-05-08;2;2;0;70;19;False
2022-05-15;2;2;0;71;20;False
2022-05-22;2;3;0;70;19;False
2022-05-29;2;3;0;85;19;False
2022-06-05;2;4;0;84;22;False
2022-06-12;1;3;0;82;20;False
2022-06-19;2;4;0;91;18;False
2022-06-26;2;2;0;90;19;False
2022-07-03;3;2;0;83;20;False
2022-07-10;2;2;0;98;21;False
2022-07-17;3;2;0;99;20;False
2022-07-24;3;2;0;84;19;False
2022-07-31;3;2;0;74;17;False
2022-08-07;2;2;0;74;17;False
2022-08-14;2;4;0;71;17;False
2022-08-21;3;4;0;73;15;False
2022-08-28;2;3;0;85;16;False
2022-09-04;2;3;0;74;17;False
2022-09-11;3;9;0;84;15;False
2022-09-18;2;3;0;72;15;False
2022-09-25;2;2;0;84;15;False
2022-10-02;2;3;0;75;14;False
2022-10-09;2;2;0;68;14;False
2022-10-16;2;3;0;69;12;False
2022-10-23;2;3;0;65;12;False
2022-10-30;2;3;0;65;11;False
2022-11-06;2;4;0;68;13;False
2022-11-13;2;3;0;65;11;False
2022-11-20;2;2;0;59;14;False
2022-11-27;2;2;0;62;13;False
2022-12-04;1;1;0;63;11;False
2022-12-11;2;3;0;100;12;False
2022-12-18;2;2;0;73;11;False
2022-12-25;2;2;0;69;14;False
2023-01-01;2;9;0;76;17;False
2023-01-08;3;6;0;66;15;False
2023-01-15;2;6;0;67;15;False
2023-01-22;3;5;0;72;14;False
2023-01-29;2;4;0;69;15;False
