date;Voluntary sector;Velvet Underground;North and Central America holidays;Global health;air travel;isPartial
2022-01-02;6;19;0;30;90;False
2022-01-09;1;20;0;55;98;False
2022-01-16;6;15;0;40;77;False
2022-01-23;7;13;0;44;84;False
2022-01-30;8;13;0;49;95;False
2022-02-06;6;14;0;47;96;False
2022-02-13;6;11;0;44;96;False
2022-02-20;5;12;0;44;98;False
2022-02-27;7;12;0;44;86;False
2022-03-06;7;12;0;47;90;False
2022-03-13;6;15;0;46;90;False
2022-03-20;1;11;0;69;88;False
2022-03-27;6;7;0;49;93;False
2022-04-03;5;12;0;57;85;False
2022-04-10;4;12;0;51;74;False
2022-04-17;4;12;0;44;82;False
2022-04-24;3;12;0;56;84;False
2022-05-01;5;12;0;55;87;False
2022-05-08;3;11;0;66;89;False
2022-05-15;7;10;0;63;93;False
2022-05-22;5;10;0;53;88;False
2022-05-29;1;12;0;50;90;False
2022-06-05;6;10;0;52;100;False
2022-06-12;2;14;0;47;87;False
2022-06-19;5;11;0;49;81;False
2022-06-26;5;7;0;53;87;False
2022-07-03;4;9;0;48;92;False
2022-07-10;4;11;0;47;95;False
2022-07-17;2;16;0;55;91;False
2022-07-24;3;19;0;48;90;False
2022-07-31;4;11;0;40;81;False
2022-08-07;3;12;0;43;78;False
2022-08-14;1;11;0;43;77;False
2022-08-21;2;14;0;46;67;False
2022-08-28;3;16;0;38;74;False
2022-09-04;6;11;0;42;80;False
2022-09-11;5;13;0;44;69;False
2022-09-18;6;14;0;41;66;False
2022-09-25;7;12;0;38;68;False
2022-10-02;5;12;0;42;65;False
2022-10-09;9;8;0;44;63;False
2022-10-16;7;14;0;39;57;False
2022-10-23;5;10;0;38;53;False
2022-10-30;7;10;0;42;53;False
2022-11-06;7;10;0;41;59;False
2022-11-13;7;9;0;38;50;False
2022-11-20;7;10;0;31;62;False
2022-11-27;4;11;0;36;61;False
2022-12-04;6;6;0;35;52;False
2022-12-11;4;12;0;33;53;False
2022-12-18;3;13;0;22;50;False
2022-12-25;2;10;0;17;66;False
2023-01-01;3;14;0;37;77;False
2023-01-08;5;9;0;50;71;False
2023-01-15;5;13;0;89;69;False
2023-01-22;4;10;0;55;64;False
2023-01-29;5;11;0;53;69;False
