date;the king;Bauer;Hulu;david duchovny;air travel;isPartial
2022-01-02;21;1;3;0;2;False
2022-01-09;21;2;2;0;2;False
2022-01-16;20;2;2;0;2;False
2022-01-23;20;1;2;0;2;False
2022-01-30;21;2;3;0;2;False
2022-02-06;21;1;3;0;2;False
2022-02-13;20;2;2;0;2;False
2022-02-20;19;2;2;0;2;False
2022-02-27;20;2;2;0;2;False
2022-03-06;19;2;2;0;2;False
2022-03-13;19;1;3;0;2;False
2022-03-20;18;1;2;0;2;False
2022-03-27;20;2;2;0;2;False
2022-04-03;19;1;3;0;2;False
2022-04-10;20;1;6;0;2;False
2022-04-17;23;1;3;0;2;False
2022-04-24;19;1;2;0;2;False
2022-05-01;21;1;2;0;2;False
2022-05-08;19;1;2;0;2;False
2022-05-15;19;1;2;0;2;False
2022-05-22;18;1;2;0;2;False
2022-05-29;25;1;2;0;2;False
2022-06-05;21;1;2;0;2;False
2022-06-12;19;1;2;0;2;False
2022-06-19;17;1;2;0;2;False
2022-06-26;18;1;2;0;2;False
2022-07-03;19;1;2;0;2;False
2022-07-10;17;1;2;0;2;False
2022-07-17;17;1;2;0;2;False
2022-07-24;20;1;2;0;2;False
2022-07-31;18;1;3;0;2;False
2022-08-07;17;1;3;0;2;False
2022-08-14;18;1;2;0;2;False
2022-08-21;19;1;2;0;1;False
2022-08-28;20;1;2;0;2;False
2022-09-04;100;1;2;0;2;False
2022-09-11;79;1;4;0;2;False
2022-09-18;75;1;3;0;1;False
2022-09-25;31;1;2;0;1;False
2022-10-02;33;1;3;0;1;False
2022-10-09;36;1;2;0;1;False
2022-10-16;32;1;2;0;1;False
2022-10-23;29;1;2;0;1;False
2022-10-30;26;1;2;0;1;False
2022-11-06;29;1;2;0;1;False
2022-11-13;25;2;1;0;1;False
2022-11-20;22;1;1;0;1;False
2022-11-27;23;1;2;0;1;False
2022-12-04;22;1;1;0;1;False
2022-12-11;21;1;1;0;1;False
2022-12-18;24;1;1;0;1;False
2022-12-25;25;1;1;0;1;False
2023-01-01;26;1;2;0;2;False
2023-01-08;24;1;1;0;2;False
2023-01-15;24;2;2;0;2;False
2023-01-22;25;2;1;0;1;False
2023-01-29;24;2;2;1;2;False
