date;Women's World Cup 2023;AFLW;US supreme court;Geography;air travel;isPartial
2022-01-02;0;0;1;39;9;False
2022-01-09;0;0;1;46;10;False
2022-01-16;0;0;0;43;8;False
2022-01-23;0;0;2;45;9;False
2022-01-30;0;0;1;43;10;False
2022-02-06;0;0;1;47;10;False
2022-02-13;0;0;0;39;10;False
2022-02-20;0;0;1;46;10;False
2022-02-27;0;0;1;60;9;False
2022-03-06;0;0;1;55;9;False
2022-03-13;0;0;1;54;9;False
2022-03-20;0;0;2;56;9;False
2022-03-27;0;0;1;56;10;False
2022-04-03;0;0;2;43;9;False
2022-04-10;0;0;1;35;8;False
2022-04-17;0;0;1;53;8;False
2022-04-24;0;0;1;70;9;False
2022-05-01;0;0;4;69;9;False
2022-05-08;0;0;1;72;9;False
2022-05-15;0;0;1;79;10;False
2022-05-22;0;0;1;100;9;False
2022-05-29;0;0;1;48;9;False
2022-06-05;0;0;1;98;10;False
2022-06-12;0;0;1;76;9;False
2022-06-19;0;0;11;43;8;False
2022-06-26;0;0;9;39;9;False
2022-07-03;0;0;2;31;10;False
2022-07-10;0;0;1;29;10;False
2022-07-17;0;0;1;22;9;False
2022-07-24;0;0;1;16;9;False
2022-07-31;2;0;1;17;8;False
2022-08-07;0;0;0;16;8;False
2022-08-14;0;0;0;20;8;False
2022-08-21;0;0;0;24;7;False
2022-08-28;1;0;0;25;8;False
2022-09-04;1;0;0;40;8;False
2022-09-11;0;0;1;50;7;False
2022-09-18;0;0;1;46;7;False
2022-09-25;0;0;1;49;7;False
2022-10-02;1;0;0;48;7;False
2022-10-09;1;0;1;46;6;False
2022-10-16;0;0;0;41;6;False
2022-10-23;0;0;0;29;6;False
2022-10-30;0;0;1;44;5;False
2022-11-06;0;0;1;53;6;False
2022-11-13;0;0;1;50;5;False
2022-11-20;0;0;1;44;6;False
2022-11-27;0;0;1;47;6;False
2022-12-04;1;0;1;45;5;False
2022-12-11;1;0;0;39;6;False
2022-12-18;1;0;1;24;5;False
2022-12-25;1;0;1;22;7;False
2023-01-01;1;0;1;38;8;False
2023-01-08;1;0;1;48;7;False
2023-01-15;1;0;1;52;7;False
2023-01-22;0;0;1;47;7;False
2023-01-29;1;0;0;46;7;False
