date;George Pell;Sexuality;Rachel Whiteread;Fat White Family;air travel;isPartial
2022-01-02;1;89;1;1;52;False
2022-01-09;0;70;0;2;60;False
2022-01-16;0;65;0;0;45;False
2022-01-23;0;73;2;2;49;False
2022-01-30;1;71;1;2;56;False
2022-02-06;0;59;3;2;56;False
2022-02-13;0;97;1;3;56;False
2022-02-20;0;65;2;4;57;False
2022-02-27;0;63;1;2;50;False
2022-03-06;0;62;2;2;53;False
2022-03-13;1;64;1;2;52;False
2022-03-20;2;68;2;2;51;False
2022-03-27;0;73;0;2;54;False
2022-04-03;0;68;1;2;50;False
2022-04-10;0;71;0;1;43;False
2022-04-17;0;75;0;2;47;False
2022-04-24;0;100;0;1;49;False
2022-05-01;0;87;1;2;51;False
2022-05-08;0;87;1;1;52;False
2022-05-15;0;78;1;0;54;False
2022-05-22;0;69;1;5;51;False
2022-05-29;0;92;0;9;52;False
2022-06-05;2;96;0;15;58;False
2022-06-12;0;80;1;2;52;False
2022-06-19;0;79;2;2;47;False
2022-06-26;0;92;0;3;51;False
2022-07-03;0;76;1;1;54;False
2022-07-10;1;75;0;1;55;False
2022-07-17;0;69;2;2;53;False
2022-07-24;1;79;1;2;52;False
2022-07-31;0;70;1;1;47;False
2022-08-07;1;66;1;4;46;False
2022-08-14;1;62;0;0;45;False
2022-08-21;1;68;1;2;39;False
2022-08-28;1;63;1;2;43;False
2022-09-04;0;57;0;1;46;False
2022-09-11;0;59;0;1;40;False
2022-09-18;0;67;1;1;40;False
2022-09-25;0;60;2;2;40;False
2022-10-02;0;62;3;1;38;False
2022-10-09;0;62;2;0;37;False
2022-10-16;0;58;1;1;33;False
2022-10-23;1;63;1;1;31;False
2022-10-30;1;59;1;2;31;False
2022-11-06;0;64;1;1;35;False
2022-11-13;0;59;1;1;29;False
2022-11-20;0;67;2;1;36;False
2022-11-27;0;64;1;1;35;False
2022-12-04;1;61;2;1;30;False
2022-12-11;0;59;0;1;31;False
2022-12-18;1;59;1;0;29;False
2022-12-25;1;57;0;1;39;False
2023-01-01;0;67;1;1;45;False
2023-01-08;34;56;3;1;41;False
2023-01-15;3;59;2;1;40;False
2023-01-22;0;60;2;1;37;False
2023-01-29;7;62;4;0;40;False
