date;Beyoncé;wales;Holocaust;Refugees;air travel;isPartial
2022-01-02;0;35;1;0;1;False
2022-01-09;0;39;1;1;1;False
2022-01-16;0;33;1;0;1;False
2022-01-23;0;38;4;0;1;False
2022-01-30;0;47;2;0;1;False
2022-02-06;0;46;2;0;1;False
2022-02-13;0;41;1;0;1;False
2022-02-20;0;53;1;1;1;False
2022-02-27;0;33;1;5;1;False
2022-03-06;0;40;1;6;1;False
2022-03-13;0;38;1;9;1;False
2022-03-20;0;45;1;3;1;False
2022-03-27;0;36;1;2;1;False
2022-04-03;0;30;1;1;1;False
2022-04-10;0;30;0;2;1;False
2022-04-17;0;29;0;1;1;False
2022-04-24;0;29;1;1;1;False
2022-05-01;0;34;1;1;1;False
2022-05-08;0;28;1;1;1;False
2022-05-15;0;32;1;1;1;False
2022-05-22;0;30;0;1;1;False
2022-05-29;0;40;0;1;1;False
2022-06-05;0;60;1;1;1;False
2022-06-12;0;33;0;2;1;False
2022-06-19;0;31;0;1;1;False
2022-06-26;0;37;0;1;1;False
2022-07-03;0;38;0;1;1;False
2022-07-10;0;39;1;1;1;False
2022-07-17;0;34;0;1;1;False
2022-07-24;0;35;0;1;1;False
2022-07-31;0;35;0;1;1;False
2022-08-07;0;35;0;1;1;False
2022-08-14;0;31;0;1;1;False
2022-08-21;0;35;0;1;0;False
2022-08-28;0;32;0;1;1;False
2022-09-04;0;40;0;1;1;False
2022-09-11;0;40;0;1;0;False
2022-09-18;0;36;1;1;0;False
2022-09-25;0;33;0;1;0;False
2022-10-02;0;28;0;1;0;False
2022-10-09;0;28;0;1;0;False
2022-10-16;0;28;0;1;0;False
2022-10-23;0;29;0;1;0;False
2022-10-30;0;34;0;1;0;False
2022-11-06;0;35;1;1;0;False
2022-11-13;0;38;1;1;0;False
2022-11-20;0;100;0;1;0;False
2022-11-27;0;97;1;1;0;False
2022-12-04;0;25;1;1;0;False
2022-12-11;0;25;1;1;0;False
2022-12-18;0;24;0;1;0;False
2022-12-25;0;25;1;0;0;False
2023-01-01;0;28;1;1;1;False
2023-01-08;0;27;1;1;0;False
2023-01-15;0;30;1;1;0;False
2023-01-22;0;27;4;1;0;False
2023-01-29;0;40;1;1;0;False
