date;Damon Albarn;Miscarriage;nfl;pensions;air travel;isPartial
2022-01-02;1;10;75;12;4;False
2022-01-09;1;11;93;15;4;False
2022-01-16;1;10;95;15;3;False
2022-01-23;6;10;94;15;3;False
2022-01-30;1;10;74;17;4;False
2022-02-06;1;10;28;15;4;False
2022-02-13;1;10;51;15;4;False
2022-02-20;1;9;14;14;4;False
2022-02-27;1;10;15;13;3;False
2022-03-06;1;10;16;12;4;False
2022-03-13;1;10;20;12;4;False
2022-03-20;1;10;17;14;3;False
2022-03-27;1;10;13;13;4;False
2022-04-03;1;9;14;13;3;False
2022-04-10;1;9;14;11;3;False
2022-04-17;1;10;13;11;3;False
2022-04-24;1;9;38;12;3;False
2022-05-01;1;10;22;12;3;False
2022-05-08;1;10;14;12;4;False
2022-05-15;1;10;11;13;4;False
2022-05-22;1;9;11;13;4;False
2022-05-29;1;10;11;10;4;False
2022-06-05;1;10;11;12;4;False
2022-06-12;1;9;12;13;4;False
2022-06-19;1;9;12;14;3;False
2022-06-26;1;10;12;12;3;False
2022-07-03;1;9;11;12;4;False
2022-07-10;1;9;12;13;4;False
2022-07-17;1;9;13;12;4;False
2022-07-24;1;10;24;13;4;False
2022-07-31;1;9;17;13;3;False
2022-08-07;1;9;18;12;3;False
2022-08-14;1;9;20;12;3;False
2022-08-21;1;9;22;13;3;False
2022-08-28;1;9;24;14;3;False
2022-09-04;1;9;39;12;3;False
2022-09-11;1;9;82;13;3;False
2022-09-18;1;9;69;13;3;False
2022-09-25;1;9;72;16;3;False
2022-10-02;1;9;75;14;3;False
2022-10-09;1;10;67;16;3;False
2022-10-16;1;9;61;18;2;False
2022-10-23;1;9;61;15;2;False
2022-10-30;1;9;63;15;2;False
2022-11-06;1;10;51;14;2;False
2022-11-13;1;9;58;16;2;False
2022-11-20;1;8;58;12;2;False
2022-11-27;0;9;45;11;2;False
2022-12-04;1;8;49;10;2;False
2022-12-11;0;9;65;11;2;False
2022-12-18;1;8;81;11;2;False
2022-12-25;1;8;65;7;3;False
2023-01-01;1;10;77;13;3;False
2023-01-08;1;9;81;13;3;False
2023-01-15;1;9;100;14;3;False
2023-01-22;1;9;81;15;3;False
2023-01-29;1;10;57;16;3;False
