date;Frances McDormand;gareth bale;European club football;Oscars 2023;air travel;isPartial
2023-01-01;0;2;0;1;3;False
2023-01-02;0;1;0;1;3;False
2023-01-03;0;0;0;1;2;False
2023-01-04;0;1;0;1;3;False
2023-01-05;0;1;0;1;2;False
2023-01-06;0;1;0;1;2;False
2023-01-07;0;1;0;2;2;False
2023-01-08;0;1;0;1;3;False
2023-01-09;0;100;0;0;2;False
2023-01-10;0;40;0;1;3;False
2023-01-11;0;10;0;4;3;False
2023-01-12;0;6;0;2;3;False
2023-01-13;0;4;0;2;2;False
2023-01-14;0;3;0;2;2;False
2023-01-15;1;5;0;3;2;False
2023-01-16;0;2;0;3;2;False
2023-01-17;0;1;0;2;2;False
2023-01-18;0;1;0;1;3;False
2023-01-19;0;1;0;1;2;False
2023-01-20;1;1;0;1;2;False
2023-01-21;0;2;0;1;2;False
2023-01-22;0;4;0;2;2;False
2023-01-23;0;4;0;2;2;False
2023-01-24;0;11;0;22;2;False
2023-01-25;0;8;0;10;3;False
2023-01-26;1;5;0;4;2;False
2023-01-27;1;3;0;5;2;False
2023-01-28;0;2;0;4;2;False
2023-01-29;0;2;0;4;2;False
2023-01-30;0;1;0;3;3;False
2023-01-31;0;1;0;2;3;False
