date;Gray report;Detroit;Fallout;ufc;air travel;isPartial
2022-01-02;0;4;0;16;2;False
2022-01-09;0;4;0;22;3;False
2022-01-16;1;4;0;38;2;False
2022-01-23;12;4;0;58;2;False
2022-01-30;17;3;0;36;3;False
2022-02-06;0;4;0;38;3;False
2022-02-13;0;3;0;43;3;False
2022-02-20;0;3;0;30;3;False
2022-02-27;0;3;0;40;2;False
2022-03-06;0;3;0;48;2;False
2022-03-13;0;3;0;71;2;False
2022-03-20;0;3;0;40;2;False
2022-03-27;0;3;0;28;3;False
2022-04-03;0;3;0;36;2;False
2022-04-10;0;3;0;58;2;False
2022-04-17;0;3;0;26;2;False
2022-04-24;2;3;0;23;2;False
2022-05-01;0;3;0;41;2;False
2022-05-08;0;3;0;47;2;False
2022-05-15;0;3;0;27;3;False
2022-05-22;12;3;0;26;2;False
2022-05-29;1;4;0;26;2;False
2022-06-05;0;3;0;26;3;False
2022-06-12;0;3;0;33;2;False
2022-06-19;0;3;0;26;2;False
2022-06-26;0;3;0;40;2;False
2022-07-03;0;3;0;50;2;False
2022-07-10;0;3;0;36;3;False
2022-07-17;0;3;0;95;2;False
2022-07-24;0;4;0;44;2;False
2022-07-31;0;3;0;37;2;False
2022-08-07;0;4;0;31;2;False
2022-08-14;0;3;0;35;2;False
2022-08-21;0;3;0;49;2;False
2022-08-28;0;4;0;39;2;False
2022-09-04;0;3;0;59;2;False
2022-09-11;0;4;0;59;2;False
2022-09-18;0;4;0;27;2;False
2022-09-25;0;4;0;22;2;False
2022-10-02;0;4;0;23;2;False
2022-10-09;0;4;0;25;2;False
2022-10-16;0;3;0;100;2;False
2022-10-23;0;5;0;40;1;False
2022-10-30;0;4;0;25;1;False
2022-11-06;0;4;0;42;2;False
2022-11-13;0;4;0;71;1;False
2022-11-20;0;3;0;22;2;False
2022-11-27;0;3;0;22;2;False
2022-12-04;0;3;0;50;1;False
2022-12-11;0;4;0;63;1;False
2022-12-18;0;4;0;23;1;False
2022-12-25;0;4;0;15;2;False
2023-01-01;0;4;0;15;2;False
2023-01-08;0;4;0;21;2;False
2023-01-15;0;3;0;39;2;False
2023-01-22;0;3;0;44;2;False
2023-01-29;0;3;0;24;2;False
