date;sicily;Sailing holidays;indiana;Food and drink books;air travel;isPartial
2022-01-02;40;1;71;0;23;False
2022-01-09;40;1;39;0;26;False
2022-01-16;38;2;31;0;20;False
2022-01-23;41;2;37;0;22;False
2022-01-30;39;1;41;0;24;False
2022-02-06;41;1;43;0;25;False
2022-02-13;44;2;47;0;25;False
2022-02-20;46;1;49;0;25;False
2022-02-27;44;1;46;0;22;False
2022-03-06;46;1;39;0;23;False
2022-03-13;56;1;34;0;23;False
2022-03-20;55;1;37;0;22;False
2022-03-27;54;2;32;0;24;False
2022-04-03;56;2;33;0;22;False
2022-04-10;61;2;34;0;19;False
2022-04-17;63;2;41;0;21;False
2022-04-24;57;2;33;0;22;False
2022-05-01;62;2;38;0;22;False
2022-05-08;62;1;34;0;23;False
2022-05-15;60;2;32;0;24;False
2022-05-22;56;2;43;0;23;False
2022-05-29;56;2;50;0;23;False
2022-06-05;60;2;43;0;26;False
2022-06-12;66;2;43;0;22;False
2022-06-19;55;2;41;0;21;False
2022-06-26;54;2;38;0;22;False
2022-07-03;60;2;62;0;24;False
2022-07-10;64;2;59;0;24;False
2022-07-17;63;3;56;0;23;False
2022-07-24;63;2;53;0;23;False
2022-07-31;60;2;48;0;21;False
2022-08-07;60;2;44;0;20;False
2022-08-14;59;2;38;0;20;False
2022-08-21;63;2;43;0;17;False
2022-08-28;57;2;51;0;19;False
2022-09-04;56;1;39;0;20;False
2022-09-11;55;2;85;0;18;False
2022-09-18;49;2;62;0;17;False
2022-09-25;42;2;39;0;18;False
2022-10-02;43;1;41;0;17;False
2022-10-09;41;2;35;0;16;False
2022-10-16;36;1;35;0;15;False
2022-10-23;39;1;41;0;14;False
2022-10-30;34;1;34;0;14;False
2022-11-06;39;0;38;0;15;False
2022-11-13;37;1;50;0;13;False
2022-11-20;31;1;54;0;16;False
2022-11-27;29;1;79;0;16;False
2022-12-04;28;1;58;0;13;False
2022-12-11;33;1;53;0;14;False
2022-12-18;36;1;55;0;13;False
2022-12-25;52;1;91;0;17;False
2023-01-01;81;2;100;0;20;False
2023-01-08;92;2;52;0;18;False
2023-01-15;89;2;48;0;18;False
2023-01-22;83;2;46;0;16;False
2023-01-29;76;2;40;0;18;False
