date;Glasgow School of Art;WWF;Canberra;Waterstones;air travel;isPartial
2022-01-02;1;8;4;47;8;False
2022-01-09;1;8;3;40;9;False
2022-01-16;1;7;3;35;7;False
2022-01-23;2;8;4;36;8;False
2022-01-30;1;8;4;36;9;False
2022-02-06;1;8;4;34;9;False
2022-02-13;1;6;4;33;9;False
2022-02-20;1;7;4;33;9;False
2022-02-27;1;7;3;34;8;False
2022-03-06;1;7;3;31;8;False
2022-03-13;1;7;3;29;8;False
2022-03-20;1;7;3;30;8;False
2022-03-27;1;7;3;29;8;False
2022-04-03;1;7;3;29;8;False
2022-04-10;1;6;3;32;7;False
2022-04-17;1;6;3;29;7;False
2022-04-24;1;7;3;31;8;False
2022-05-01;1;7;3;35;8;False
2022-05-08;1;7;3;31;8;False
2022-05-15;1;7;3;31;8;False
2022-05-22;1;7;3;30;8;False
2022-05-29;1;5;4;36;8;False
2022-06-05;1;7;4;33;9;False
2022-06-12;1;6;3;31;8;False
2022-06-19;1;7;4;31;7;False
2022-06-26;1;7;4;33;8;False
2022-07-03;1;6;4;32;8;False
2022-07-10;1;7;4;33;9;False
2022-07-17;0;6;4;34;8;False
2022-07-24;1;6;4;37;8;False
2022-07-31;1;6;4;35;7;False
2022-08-07;1;9;4;38;7;False
2022-08-14;1;5;4;34;7;False
2022-08-21;1;7;4;37;6;False
2022-08-28;0;7;3;41;7;False
2022-09-04;1;6;4;37;7;False
2022-09-11;1;6;4;38;6;False
2022-09-18;1;6;3;38;6;False
2022-09-25;1;7;4;38;6;False
2022-10-02;1;6;3;38;6;False
2022-10-09;1;7;5;39;6;False
2022-10-16;1;6;3;36;5;False
2022-10-23;1;6;3;40;5;False
2022-10-30;1;6;3;37;5;False
2022-11-06;1;8;4;43;5;False
2022-11-13;1;9;4;45;5;False
2022-11-20;1;7;3;49;6;False
2022-11-27;1;8;4;69;6;False
2022-12-04;1;7;3;67;5;False
2022-12-11;0;7;3;83;5;False
2022-12-18;0;7;4;100;5;False
2022-12-25;0;6;3;76;6;False
2023-01-01;1;6;3;55;7;False
2023-01-08;1;7;3;47;6;False
2023-01-15;1;8;4;39;6;False
2023-01-22;1;7;3;36;6;False
2023-01-29;1;8;4;35;6;False
