date;Andy Serkis;Eva Green;mental health;Kurds;air travel;isPartial
2022-01-02;1;1;0;0;5;False
2022-01-09;1;1;0;0;5;False
2022-01-16;1;1;62;0;4;False
2022-01-23;1;2;0;0;5;False
2022-01-30;1;1;70;0;5;False
2022-02-06;3;1;0;0;5;False
2022-02-13;1;1;0;0;5;False
2022-02-20;2;1;66;0;5;False
2022-02-27;3;1;66;1;5;False
2022-03-06;2;1;66;0;5;False
2022-03-13;3;1;63;0;5;False
2022-03-20;1;1;61;1;5;False
2022-03-27;2;1;59;0;5;False
2022-04-03;1;1;59;0;5;False
2022-04-10;1;1;52;0;4;False
2022-04-17;1;2;55;0;4;False
2022-04-24;1;1;66;0;5;False
2022-05-01;1;1;72;0;5;False
2022-05-08;1;1;92;0;5;False
2022-05-15;1;3;66;0;5;False
2022-05-22;1;1;58;0;5;False
2022-05-29;1;1;46;0;5;False
2022-06-05;1;1;59;0;5;False
2022-06-12;1;1;56;1;5;False
2022-06-19;1;1;55;0;4;False
2022-06-26;1;1;52;0;5;False
2022-07-03;1;1;52;0;5;False
2022-07-10;0;1;56;0;5;False
2022-07-17;0;1;46;0;5;False
2022-07-24;0;1;49;0;5;False
2022-07-31;1;1;46;0;4;False
2022-08-07;1;1;48;0;4;False
2022-08-14;1;1;42;0;4;False
2022-08-21;0;1;48;0;4;False
2022-08-28;1;1;44;0;4;False
2022-09-04;1;1;51;0;4;False
2022-09-11;1;1;56;0;4;False
2022-09-18;1;1;53;1;4;False
2022-09-25;1;1;64;1;4;False
2022-10-02;1;1;72;0;4;False
2022-10-09;1;1;100;0;3;False
2022-10-16;0;2;59;0;3;False
2022-10-23;2;1;54;0;3;False
2022-10-30;1;1;58;0;3;False
2022-11-06;3;1;56;0;3;False
2022-11-13;1;1;64;0;3;False
2022-11-20;1;1;57;1;3;False
2022-11-27;1;1;60;0;3;False
2022-12-04;1;2;55;0;3;False
2022-12-11;1;4;52;0;3;False
2022-12-18;1;1;43;2;3;False
2022-12-25;1;1;31;1;4;False
2023-01-01;1;1;52;0;4;False
2023-01-08;1;1;59;0;4;False
2023-01-15;1;1;64;0;4;False
2023-01-22;1;6;67;0;3;False
2023-01-29;1;12;71;0;4;False
