date;John Kerry;The Apprentice;US sports;Martina Navratilova;air travel;isPartial
2022-01-02;0;100;2;1;8;False
2022-01-09;0;63;1;2;9;False
2022-01-16;0;50;2;1;7;False
2022-01-23;1;40;2;0;8;False
2022-01-30;0;40;1;0;9;False
2022-02-06;0;31;1;0;9;False
2022-02-13;0;31;1;0;9;False
2022-02-20;0;29;2;0;9;False
2022-02-27;0;28;2;1;8;False
2022-03-06;1;31;1;0;8;False
2022-03-13;0;55;1;1;8;False
2022-03-20;0;70;1;0;8;False
2022-03-27;1;16;2;1;8;False
2022-04-03;1;10;2;0;8;False
2022-04-10;0;7;2;0;7;False
2022-04-17;1;6;2;1;7;False
2022-04-24;0;6;2;0;8;False
2022-05-01;0;5;2;1;8;False
2022-05-08;1;5;2;0;8;False
2022-05-15;0;4;1;0;8;False
2022-05-22;0;4;1;0;8;False
2022-05-29;0;3;2;1;8;False
2022-06-05;1;3;2;1;9;False
2022-06-12;0;4;3;0;8;False
2022-06-19;0;4;2;0;7;False
2022-06-26;0;4;1;10;8;False
2022-07-03;0;4;1;15;8;False
2022-07-10;0;4;2;4;8;False
2022-07-17;0;4;1;0;8;False
2022-07-24;1;4;2;0;8;False
2022-07-31;1;4;2;0;7;False
2022-08-07;1;3;1;0;7;False
2022-08-14;0;5;1;1;7;False
2022-08-21;0;4;2;0;6;False
2022-08-28;0;4;3;1;7;False
2022-09-04;2;4;2;2;7;False
2022-09-11;1;5;2;0;6;False
2022-09-18;1;5;1;0;6;False
2022-09-25;0;7;2;0;6;False
2022-10-02;1;6;1;0;6;False
2022-10-09;0;6;1;0;6;False
2022-10-16;0;8;1;1;5;False
2022-10-23;1;7;1;0;5;False
2022-10-30;1;6;1;0;5;False
2022-11-06;1;8;2;0;5;False
2022-11-13;1;5;2;0;4;False
2022-11-20;0;4;2;0;6;False
2022-11-27;1;6;1;0;5;False
2022-12-04;1;6;1;0;5;False
2022-12-11;0;8;1;1;5;False
2022-12-18;0;8;2;0;4;False
2022-12-25;0;8;2;0;6;False
2023-01-01;0;64;2;17;7;False
2023-01-08;0;56;2;1;6;False
2023-01-15;1;35;2;1;6;False
2023-01-22;1;31;2;1;6;False
2023-01-29;0;29;2;1;6;False
