date;Regional & local newspapers;Airline industry;Television;Kamila Valieva;air travel;isPartial
2023-01-01;0;0;55;0;13;False
2023-01-02;0;0;56;1;15;False
2023-01-03;0;0;58;2;10;False
2023-01-04;0;0;50;0;15;False
2023-01-05;0;2;37;0;12;False
2023-01-06;0;1;37;0;12;False
2023-01-07;0;1;46;0;9;False
2023-01-08;0;0;48;1;14;False
2023-01-09;0;2;42;0;8;False
2023-01-10;0;1;43;2;13;False
2023-01-11;0;0;40;0;15;False
2023-01-12;0;0;42;2;13;False
2023-01-13;0;0;37;6;10;False
2023-01-14;0;0;49;2;10;False
2023-01-15;0;0;38;0;11;False
2023-01-16;0;0;32;4;12;False
2023-01-17;0;0;47;0;9;False
2023-01-18;0;0;38;2;14;False
2023-01-19;0;0;37;0;12;False
2023-01-20;0;1;42;0;10;False
2023-01-21;0;0;48;0;11;False
2023-01-22;0;0;41;0;12;False
2023-01-23;0;0;46;1;12;False
2023-01-24;0;2;49;0;9;False
2023-01-25;0;0;38;0;13;False
2023-01-26;0;4;35;0;12;False
2023-01-27;0;1;40;0;8;False
2023-01-28;0;2;50;2;11;False
2023-01-29;0;0;100;0;10;False
2023-01-30;0;0;47;0;17;False
2023-01-31;0;0;45;1;14;False
