date;theresa may;Drugs in sport;Rosalía;Retail industry;air travel;isPartial
2022-01-02;12;0;1;3;32;False
2022-01-09;30;0;0;2;35;False
2022-01-16;23;0;0;3;28;False
2022-01-23;17;0;0;1;30;False
2022-01-30;58;1;0;2;34;False
2022-02-06;15;1;1;2;34;False
2022-02-13;11;1;0;3;35;False
2022-02-20;13;1;1;2;35;False
2022-02-27;11;1;0;5;31;False
2022-03-06;11;1;1;3;33;False
2022-03-13;11;1;1;4;32;False
2022-03-20;8;0;2;5;32;False
2022-03-27;8;0;1;4;33;False
2022-04-03;9;1;0;4;31;False
2022-04-10;11;0;1;2;27;False
2022-04-17;15;0;1;3;30;False
2022-04-24;11;1;1;3;30;False
2022-05-01;13;1;1;4;31;False
2022-05-08;12;1;0;3;32;False
2022-05-15;9;0;0;3;33;False
2022-05-22;12;1;1;3;32;False
2022-05-29;13;1;0;1;32;False
2022-06-05;96;0;1;1;36;False
2022-06-12;10;0;1;3;31;False
2022-06-19;9;1;0;3;29;False
2022-06-26;13;0;0;1;31;False
2022-07-03;92;0;1;3;33;False
2022-07-10;29;0;1;3;34;False
2022-07-17;27;0;1;2;33;False
2022-07-24;11;0;1;2;32;False
2022-07-31;11;0;0;2;29;False
2022-08-07;9;0;1;2;28;False
2022-08-14;7;0;1;2;28;False
2022-08-21;7;0;2;1;24;False
2022-08-28;9;1;1;1;27;False
2022-09-04;100;1;1;2;29;False
2022-09-11;45;1;1;2;25;False
2022-09-18;27;0;1;2;24;False
2022-09-25;13;0;1;2;25;False
2022-10-02;20;1;0;2;24;False
2022-10-09;15;1;1;4;23;False
2022-10-16;56;1;1;2;21;False
2022-10-23;35;1;1;3;19;False
2022-10-30;11;1;1;2;19;False
2022-11-06;9;0;0;4;21;False
2022-11-13;9;0;0;4;18;False
2022-11-20;8;0;0;3;22;False
2022-11-27;8;0;0;3;22;False
2022-12-04;6;1;1;2;19;False
2022-12-11;7;0;2;4;19;False
2022-12-18;9;0;1;2;18;False
2022-12-25;7;0;1;2;24;False
2023-01-01;8;1;1;3;28;False
2023-01-08;10;1;1;3;26;False
2023-01-15;8;0;0;2;25;False
2023-01-22;8;1;0;3;23;False
2023-01-29;8;0;1;2;25;False
