date;Nadine Dorries;wiltshire;Tony Burke;Native Americans;air travel;isPartial
2022-01-02;1;77;0;2;14;False
2022-01-09;5;82;0;2;16;False
2022-01-16;37;69;0;2;12;False
2022-01-23;10;73;0;3;13;False
2022-01-30;73;75;0;2;15;False
2022-02-06;28;69;0;2;15;False
2022-02-13;5;100;0;2;15;False
2022-02-20;6;68;0;2;16;False
2022-02-27;6;77;0;2;14;False
2022-03-06;7;77;0;2;14;False
2022-03-13;4;72;0;2;14;False
2022-03-20;2;72;0;2;14;False
2022-03-27;3;69;0;2;15;False
2022-04-03;12;70;0;2;13;False
2022-04-10;15;67;0;2;12;False
2022-04-17;20;66;0;2;13;False
2022-04-24;16;69;0;2;13;False
2022-05-01;9;72;0;2;14;False
2022-05-08;5;70;0;3;14;False
2022-05-15;12;68;0;2;15;False
2022-05-22;11;66;0;2;14;False
2022-05-29;12;70;0;2;14;False
2022-06-05;39;68;0;2;16;False
2022-06-12;5;67;0;2;14;False
2022-06-19;8;70;0;2;13;False
2022-06-26;14;72;0;1;14;False
2022-07-03;75;71;0;2;15;False
2022-07-10;27;73;0;2;15;False
2022-07-17;12;76;0;2;14;False
2022-07-24;31;73;0;2;14;False
2022-07-31;24;73;0;2;13;False
2022-08-07;6;80;0;3;12;False
2022-08-14;3;69;0;3;12;False
2022-08-21;2;79;0;2;11;False
2022-08-28;5;75;0;2;12;False
2022-09-04;25;66;0;2;13;False
2022-09-11;2;69;0;3;11;False
2022-09-18;11;64;0;3;11;False
2022-09-25;3;64;0;2;11;False
2022-10-02;12;65;0;2;10;False
2022-10-09;8;65;0;1;10;False
2022-10-16;14;63;0;2;9;False
2022-10-23;26;59;0;2;8;False
2022-10-30;13;60;0;2;8;False
2022-11-06;5;61;0;2;9;False
2022-11-13;4;60;0;2;8;False
2022-11-20;3;54;0;2;10;False
2022-11-27;2;56;0;2;10;False
2022-12-04;2;57;0;2;8;False
2022-12-11;1;61;0;2;8;False
2022-12-18;1;58;0;1;8;False
2022-12-25;7;62;0;2;10;False
2023-01-01;3;74;0;2;12;False
2023-01-08;2;71;0;2;11;False
2023-01-15;1;68;0;2;11;False
2023-01-22;6;67;0;2;10;False
2023-01-29;11;68;0;3;11;False
