date;Google;US military;Greenpeace;Priti Patel;air travel;isPartial
2022-01-02;79;0;0;0;0;False
2022-01-09;90;0;0;0;0;False
2022-01-16;83;0;0;0;0;False
2022-01-23;86;0;0;0;0;False
2022-01-30;94;0;0;0;0;False
2022-02-06;85;0;0;0;0;False
2022-02-13;79;0;0;0;0;False
2022-02-20;84;0;0;0;0;False
2022-02-27;83;0;0;0;0;False
2022-03-06;87;0;0;1;0;False
2022-03-13;89;0;0;0;0;False
2022-03-20;92;0;0;0;0;False
2022-03-27;94;0;0;0;0;False
2022-04-03;87;0;0;0;0;False
2022-04-10;79;0;0;0;0;False
2022-04-17;90;0;0;1;0;False
2022-04-24;90;0;0;0;0;False
2022-05-01;92;0;0;0;0;False
2022-05-08;91;0;0;0;0;False
2022-05-15;92;0;0;0;0;False
2022-05-22;89;0;0;0;0;False
2022-05-29;77;0;0;0;0;False
2022-06-05;96;0;0;0;0;False
2022-06-12;93;0;0;1;0;False
2022-06-19;96;0;0;0;0;False
2022-06-26;89;0;0;0;0;False
2022-07-03;85;0;0;1;0;False
2022-07-10;90;0;0;1;0;False
2022-07-17;85;0;0;0;0;False
2022-07-24;84;0;0;0;0;False
2022-07-31;82;0;0;0;0;False
2022-08-07;83;0;0;0;0;False
2022-08-14;71;0;0;0;0;False
2022-08-21;74;0;0;0;0;False
2022-08-28;80;0;0;0;0;False
2022-09-04;89;0;0;1;0;False
2022-09-11;97;0;0;0;0;False
2022-09-18;85;0;0;0;0;False
2022-09-25;93;0;0;0;0;False
2022-10-02;98;0;0;0;0;False
2022-10-09;97;0;0;0;0;False
2022-10-16;89;0;0;0;0;False
2022-10-23;82;0;0;0;0;False
2022-10-30;86;0;0;0;0;False
2022-11-06;100;0;0;0;0;False
2022-11-13;93;0;0;0;0;False
2022-11-20;84;0;0;0;0;False
2022-11-27;91;0;0;0;0;False
2022-12-04;87;0;0;0;0;False
2022-12-11;86;0;0;0;0;False
2022-12-18;66;0;0;0;0;False
2022-12-25;68;0;0;0;0;False
2023-01-01;81;0;0;0;0;False
2023-01-08;88;0;0;0;0;False
2023-01-15;94;0;0;0;0;False
2023-01-22;86;0;0;0;0;False
2023-01-29;94;0;0;0;0;False
