date;Self-catering;New Year honours list;London Metropolitan University;BTS;air travel;isPartial
2022-01-02;1;4;2;52;12;False
2022-01-09;1;0;3;52;13;False
2022-01-16;1;0;2;46;10;False
2022-01-23;1;0;3;45;11;False
2022-01-30;1;0;4;45;12;False
2022-02-06;0;0;2;45;13;False
2022-02-13;1;0;2;49;13;False
2022-02-20;1;0;2;52;13;False
2022-02-27;1;0;2;45;11;False
2022-03-06;1;0;2;55;12;False
2022-03-13;1;0;2;48;12;False
2022-03-20;1;0;3;46;11;False
2022-03-27;1;0;3;44;12;False
2022-04-03;1;0;2;74;11;False
2022-04-10;1;0;2;55;10;False
2022-04-17;1;0;2;53;11;False
2022-04-24;1;0;3;47;11;False
2022-05-01;1;0;2;52;11;False
2022-05-08;1;0;2;45;12;False
2022-05-15;1;0;3;43;12;False
2022-05-22;1;0;3;42;12;False
2022-05-29;1;0;2;49;12;False
2022-06-05;1;0;3;57;13;False
2022-06-12;1;0;3;100;12;False
2022-06-19;1;0;3;47;11;False
2022-06-26;1;0;2;42;11;False
2022-07-03;1;0;3;50;12;False
2022-07-10;1;0;3;45;12;False
2022-07-17;1;0;2;37;12;False
2022-07-24;1;0;2;39;12;False
2022-07-31;1;0;2;41;11;False
2022-08-07;1;0;2;40;10;False
2022-08-14;0;0;3;38;10;False
2022-08-21;1;0;3;40;9;False
2022-08-28;1;0;2;41;10;False
2022-09-04;1;0;3;35;10;False
2022-09-11;1;0;3;35;9;False
2022-09-18;1;0;4;34;9;False
2022-09-25;1;0;4;33;9;False
2022-10-02;1;0;5;33;9;False
2022-10-09;1;0;4;44;8;False
2022-10-16;1;0;4;56;7;False
2022-10-23;1;0;3;40;7;False
2022-10-30;0;0;2;40;7;False
2022-11-06;0;0;4;36;8;False
2022-11-13;0;0;3;36;7;False
2022-11-20;1;0;2;37;8;False
2022-11-27;0;0;3;34;8;False
2022-12-04;0;0;3;35;7;False
2022-12-11;1;0;2;40;7;False
2022-12-18;0;0;1;35;7;False
2022-12-25;1;12;2;42;9;False
2023-01-01;1;3;2;35;10;False
2023-01-08;1;1;3;36;9;False
2023-01-15;1;0;4;35;9;False
2023-01-22;1;0;4;32;8;False
2023-01-29;1;0;4;38;9;False
