date;Janet Malcolm;Coronavirus;Salman Khan;Paramount Pictures;air travel;isPartial
2023-01-01;3;56;10;2;19;False
2023-01-02;0;65;9;0;23;False
2023-01-03;0;87;9;0;15;False
2023-01-04;0;72;2;2;22;False
2023-01-05;0;79;5;0;18;False
2023-01-06;0;75;8;0;18;False
2023-01-07;0;53;16;1;13;False
2023-01-08;0;59;10;2;21;False
2023-01-09;0;55;13;0;13;False
2023-01-10;0;66;6;0;20;False
2023-01-11;0;100;11;0;23;False
2023-01-12;0;54;12;0;19;False
2023-01-13;0;48;12;0;15;False
2023-01-14;0;57;13;1;14;False
2023-01-15;3;46;9;0;17;False
2023-01-16;2;39;11;0;17;False
2023-01-17;0;50;6;2;14;False
2023-01-18;0;47;6;2;20;False
2023-01-19;4;44;10;0;18;False
2023-01-20;0;51;9;0;15;False
2023-01-21;0;47;12;5;16;False
2023-01-22;0;40;10;0;18;False
2023-01-23;3;39;12;0;18;False
2023-01-24;1;35;10;0;14;False
2023-01-25;2;52;15;0;19;False
2023-01-26;0;47;12;0;17;False
2023-01-27;2;41;13;0;12;False
2023-01-28;2;40;20;0;17;False
2023-01-29;0;44;20;0;15;False
2023-01-30;0;49;10;1;25;False
2023-01-31;0;40;13;1;21;False
