date;drugs;bank of england;gaming;Machu Picchu, Peru;air travel;isPartial
2022-01-02;36;5;80;0;4;False
2022-01-09;35;5;76;0;5;False
2022-01-16;32;5;67;0;3;False
2022-01-23;35;5;77;0;4;False
2022-01-30;40;13;66;0;4;False
2022-02-06;34;6;62;0;4;False
2022-02-13;35;5;68;0;4;False
2022-02-20;36;5;75;0;4;False
2022-02-27;35;6;62;0;4;False
2022-03-06;36;6;64;0;4;False
2022-03-13;36;10;62;0;4;False
2022-03-20;42;6;64;0;4;False
2022-03-27;39;5;59;0;4;False
2022-04-03;32;5;63;0;4;False
2022-04-10;35;5;63;0;3;False
2022-04-17;34;5;59;0;4;False
2022-04-24;35;6;54;0;4;False
2022-05-01;39;16;68;0;4;False
2022-05-08;37;6;56;0;4;False
2022-05-15;37;10;56;0;4;False
2022-05-22;33;6;63;0;4;False
2022-05-29;31;5;71;0;4;False
2022-06-05;48;7;62;0;4;False
2022-06-12;36;15;55;0;4;False
2022-06-19;33;7;59;0;4;False
2022-06-26;33;6;62;0;4;False
2022-07-03;30;7;53;0;4;False
2022-07-10;29;7;67;0;4;False
2022-07-17;26;7;62;0;4;False
2022-07-24;28;8;62;0;4;False
2022-07-31;30;19;58;0;4;False
2022-08-07;31;9;55;0;3;False
2022-08-14;30;8;56;0;3;False
2022-08-21;33;7;63;0;3;False
2022-08-28;31;9;63;0;3;False
2022-09-04;31;12;59;0;4;False
2022-09-11;28;11;66;0;3;False
2022-09-18;28;18;69;0;3;False
2022-09-25;33;29;68;0;3;False
2022-10-02;36;14;69;0;3;False
2022-10-09;37;16;65;0;3;False
2022-10-16;34;12;78;0;3;False
2022-10-23;31;11;69;0;2;False
2022-10-30;33;23;67;0;2;False
2022-11-06;35;10;75;0;3;False
2022-11-13;33;10;82;0;2;False
2022-11-20;28;7;97;0;3;False
2022-11-27;34;9;79;0;3;False
2022-12-04;30;9;69;0;2;False
2022-12-11;29;16;75;0;2;False
2022-12-18;30;6;82;0;2;False
2022-12-25;26;5;100;0;3;False
2023-01-01;31;9;74;0;3;False
2023-01-08;42;9;68;0;3;False
2023-01-15;36;10;68;0;3;False
2023-01-22;38;9;68;0;3;False
2023-01-29;36;19;64;0;3;False
