date;missouri;Phil Mickelson;nicola sturgeon;Literacy;air travel;isPartial
2022-01-02;21;4;100;45;30;False
2022-01-09;20;2;63;50;33;False
2022-01-16;18;2;44;50;26;False
2022-01-23;25;3;34;52;28;False
2022-01-30;22;2;29;54;32;False
2022-02-06;23;2;29;49;32;False
2022-02-13;20;4;18;37;32;False
2022-02-20;21;45;45;40;33;False
2022-02-27;17;10;23;48;29;False
2022-03-06;16;3;27;47;30;False
2022-03-13;20;2;37;49;30;False
2022-03-20;17;9;20;49;29;False
2022-03-27;17;5;35;54;31;False
2022-04-03;16;15;22;34;28;False
2022-04-10;17;4;24;22;25;False
2022-04-17;19;2;61;35;27;False
2022-04-24;18;3;17;52;28;False
2022-05-01;38;4;28;47;29;False
2022-05-08;18;9;14;56;30;False
2022-05-15;17;11;24;50;31;False
2022-05-22;19;3;30;47;29;False
2022-05-29;16;3;24;21;30;False
2022-06-05;17;24;19;47;33;False
2022-06-12;15;22;31;45;29;False
2022-06-19;19;4;20;45;27;False
2022-06-26;21;1;41;42;29;False
2022-07-03;17;2;30;36;31;False
2022-07-10;16;11;29;37;32;False
2022-07-17;21;4;21;27;30;False
2022-07-24;18;2;19;21;30;False
2022-07-31;19;2;48;19;27;False
2022-08-07;17;2;32;15;26;False
2022-08-14;16;1;21;19;26;False
2022-08-21;19;2;33;27;22;False
2022-08-28;18;2;42;35;25;False
2022-09-04;17;1;54;48;27;False
2022-09-11;22;1;54;48;23;False
2022-09-18;16;1;30;42;22;False
2022-09-25;16;1;17;47;23;False
2022-10-02;18;0;42;47;22;False
2022-10-09;19;1;62;51;21;False
2022-10-16;19;2;41;41;19;False
2022-10-23;20;2;33;33;18;False
2022-10-30;17;1;25;43;18;False
2022-11-06;22;1;23;48;20;False
2022-11-13;18;2;16;46;17;False
2022-11-20;16;1;37;45;21;False
2022-11-27;16;1;42;46;20;False
2022-12-04;12;1;22;40;17;False
2022-12-11;15;1;38;39;18;False
2022-12-18;22;1;29;20;17;False
2022-12-25;24;1;14;13;22;False
2023-01-01;25;1;20;36;26;False
2023-01-08;18;0;33;51;24;False
2023-01-15;23;1;37;47;23;False
2023-01-22;18;2;43;52;21;False
2023-01-29;16;1;79;54;23;False
