date;HSBC;Frances McDormand;climate crisis;Robert Capa;air travel;isPartial
2022-01-02;80;1;0;0;3;False
2022-01-09;81;1;0;0;3;False
2022-01-16;78;0;0;0;3;False
2022-01-23;87;0;0;0;3;False
2022-01-30;92;0;0;0;3;False
2022-02-06;74;0;0;0;3;False
2022-02-13;67;0;0;0;3;False
2022-02-20;81;0;0;0;3;False
2022-02-27;78;0;0;0;3;False
2022-03-06;68;0;0;0;3;False
2022-03-13;77;0;0;0;3;False
2022-03-20;78;0;0;0;3;False
2022-03-27;77;0;0;0;3;False
2022-04-03;71;0;0;0;3;False
2022-04-10;64;0;0;0;3;False
2022-04-17;67;0;0;0;3;False
2022-04-24;74;0;0;0;3;False
2022-05-01;74;0;0;0;3;False
2022-05-08;71;0;0;0;3;False
2022-05-15;74;0;0;0;3;False
2022-05-22;76;0;0;0;3;False
2022-05-29;70;0;0;0;3;False
2022-06-05;76;0;0;0;3;False
2022-06-12;67;0;0;0;3;False
2022-06-19;73;0;0;0;3;False
2022-06-26;79;0;0;0;3;False
2022-07-03;77;0;0;0;3;False
2022-07-10;75;0;0;0;3;False
2022-07-17;74;0;0;0;3;False
2022-07-24;81;0;0;0;3;False
2022-07-31;80;0;0;0;3;False
2022-08-07;75;0;0;0;3;False
2022-08-14;68;0;0;0;3;False
2022-08-21;81;0;0;0;2;False
2022-08-28;75;0;0;0;3;False
2022-09-04;77;0;0;0;3;False
2022-09-11;78;0;0;0;2;False
2022-09-18;75;1;0;0;2;False
2022-09-25;89;1;0;0;2;False
2022-10-02;87;0;0;0;2;False
2022-10-09;75;0;0;0;2;False
2022-10-16;75;0;0;0;2;False
2022-10-23;75;0;0;0;2;False
2022-10-30;100;0;0;0;2;False
2022-11-06;87;0;0;0;2;False
2022-11-13;70;0;0;0;2;False
2022-11-20;67;0;0;0;2;False
2022-11-27;88;0;0;0;2;False
2022-12-04;72;0;0;0;2;False
2022-12-11;71;0;0;0;2;False
2022-12-18;70;0;0;0;2;False
2022-12-25;57;0;0;0;2;False
2023-01-01;72;0;0;0;3;False
2023-01-08;72;0;0;0;2;False
2023-01-15;74;0;0;0;2;False
2023-01-22;83;0;0;0;2;False
2023-01-29;83;0;0;0;2;False
