date;Kim Jong-un;Social enterprises;Australian Capital Territory;Mortgage rates;air travel;isPartial
2022-01-02;1;0;0;12;7;False
2022-01-09;0;0;0;12;8;False
2022-01-16;0;0;0;12;6;False
2022-01-23;0;0;0;13;7;False
2022-01-30;0;0;0;22;8;False
2022-02-06;0;0;0;13;8;False
2022-02-13;0;0;0;11;8;False
2022-02-20;0;0;0;11;8;False
2022-02-27;0;1;0;11;7;False
2022-03-06;0;0;0;12;7;False
2022-03-13;0;0;0;16;7;False
2022-03-20;0;0;0;16;7;False
2022-03-27;0;0;0;12;7;False
2022-04-03;1;0;0;13;7;False
2022-04-10;0;0;0;12;6;False
2022-04-17;0;0;0;11;6;False
2022-04-24;0;0;0;16;7;False
2022-05-01;0;0;0;23;7;False
2022-05-08;0;0;0;16;7;False
2022-05-15;0;0;0;17;7;False
2022-05-22;0;0;0;15;7;False
2022-05-29;0;0;0;12;7;False
2022-06-05;0;0;0;13;8;False
2022-06-12;0;0;0;26;7;False
2022-06-19;0;0;0;20;6;False
2022-06-26;0;0;0;16;7;False
2022-07-03;0;0;0;17;7;False
2022-07-10;0;0;0;17;8;False
2022-07-17;0;0;0;17;7;False
2022-07-24;0;0;0;20;7;False
2022-07-31;0;0;0;33;6;False
2022-08-07;0;0;0;22;6;False
2022-08-14;0;0;0;18;6;False
2022-08-21;0;0;0;21;5;False
2022-08-28;0;0;0;21;6;False
2022-09-04;0;0;0;21;6;False
2022-09-11;0;0;0;20;5;False
2022-09-18;0;0;0;33;5;False
2022-09-25;0;0;0;100;5;False
2022-10-02;0;0;0;76;5;False
2022-10-09;0;0;0;56;5;False
2022-10-16;0;0;0;59;5;False
2022-10-23;0;0;0;45;4;False
2022-10-30;0;0;0;61;4;False
2022-11-06;0;0;0;30;5;False
2022-11-13;0;0;0;33;4;False
2022-11-20;0;0;0;23;5;False
2022-11-27;0;0;0;24;5;False
2022-12-04;0;0;0;23;4;False
2022-12-11;0;0;0;28;4;False
2022-12-18;0;0;0;19;4;False
2022-12-25;0;0;0;21;5;False
2023-01-01;0;0;0;33;6;False
2023-01-08;0;0;0;34;6;False
2023-01-15;0;0;0;31;5;False
2023-01-22;0;0;0;32;5;False
2023-01-29;0;0;0;45;5;False
