date;Women's health;premier league 2022/23;Wolverhampton Wanderers;Jazz;air travel;isPartial
2022-01-02;2;0;3;32;6;False
2022-01-09;2;0;3;34;7;False
2022-01-16;2;0;3;32;5;False
2022-01-23;2;0;4;36;6;False
2022-01-30;2;0;3;35;6;False
2022-02-06;2;0;2;33;6;False
2022-02-13;1;0;2;35;6;False
2022-02-20;1;0;3;35;7;False
2022-02-27;1;0;2;33;6;False
2022-03-06;2;0;3;42;6;False
2022-03-13;2;0;3;34;6;False
2022-03-20;2;1;1;35;6;False
2022-03-27;1;1;2;35;6;False
2022-04-03;1;1;2;37;6;False
2022-04-10;1;1;1;34;5;False
2022-04-17;1;1;2;38;5;False
2022-04-24;2;1;2;41;6;False
2022-05-01;2;2;2;41;6;False
2022-05-08;2;2;3;32;6;False
2022-05-15;2;3;3;33;6;False
2022-05-22;1;7;3;29;6;False
2022-05-29;1;5;1;32;6;False
2022-06-05;1;4;2;31;7;False
2022-06-12;1;6;2;32;6;False
2022-06-19;2;3;2;34;5;False
2022-06-26;1;3;2;33;6;False
2022-07-03;1;3;2;34;6;False
2022-07-10;1;3;2;35;6;False
2022-07-17;2;3;3;33;6;False
2022-07-24;2;4;2;32;6;False
2022-07-31;1;6;4;29;5;False
2022-08-07;2;5;4;30;5;False
2022-08-14;2;4;4;29;5;False
2022-08-21;2;6;4;30;4;False
2022-08-28;1;8;5;30;5;False
2022-09-04;1;4;3;30;5;False
2022-09-11;2;3;3;30;5;False
2022-09-18;1;2;2;31;5;False
2022-09-25;1;2;3;35;5;False
2022-10-02;1;4;4;32;4;False
2022-10-09;2;4;4;35;4;False
2022-10-16;1;6;4;31;4;False
2022-10-23;2;4;4;34;4;False
2022-10-30;1;4;3;33;4;False
2022-11-06;1;5;4;35;4;False
2022-11-13;2;3;2;35;3;False
2022-11-20;1;1;2;31;4;False
2022-11-27;2;1;1;31;4;False
2022-12-04;1;1;2;30;3;False
2022-12-11;1;1;2;32;4;False
2022-12-18;1;1;3;100;3;False
2022-12-25;1;6;5;80;4;False
2023-01-01;2;6;5;38;5;False
2023-01-08;2;4;5;37;5;False
2023-01-15;1;6;5;37;5;False
2023-01-22;2;5;4;37;4;False
2023-01-29;2;4;4;38;5;False
