date;Jacksonville Jaguars;Internazionale;Baltimore Ravens;Sussan Ley;air travel;isPartial
2022-01-02;8;8;11;2;90;False
2022-01-09;16;7;12;0;98;False
2022-01-16;3;5;5;1;77;False
2022-01-23;5;7;6;0;84;False
2022-01-30;8;6;7;0;95;False
2022-02-06;7;7;4;3;96;False
2022-02-13;4;13;7;0;96;False
2022-02-20;3;5;2;0;98;False
2022-02-27;3;7;5;0;86;False
2022-03-06;6;9;2;0;90;False
2022-03-13;8;10;5;0;90;False
2022-03-20;2;6;5;1;88;False
2022-03-27;4;4;2;0;93;False
2022-04-03;2;6;3;0;85;False
2022-04-10;4;6;4;2;74;False
2022-04-17;3;4;3;0;82;False
2022-04-24;5;8;7;0;84;False
2022-05-01;6;7;5;0;87;False
2022-05-08;5;6;4;0;89;False
2022-05-15;4;6;3;0;93;False
2022-05-22;4;5;3;1;88;False
2022-05-29;2;4;3;0;90;False
2022-06-05;3;4;6;0;100;False
2022-06-12;4;5;5;0;87;False
2022-06-19;6;5;8;0;81;False
2022-06-26;7;7;4;1;87;False
2022-07-03;1;4;4;1;92;False
2022-07-10;1;5;5;0;95;False
2022-07-17;3;4;6;0;91;False
2022-07-24;6;6;3;0;90;False
2022-07-31;9;2;4;0;81;False
2022-08-07;4;3;7;0;78;False
2022-08-14;4;3;2;0;77;False
2022-08-21;3;5;7;1;67;False
2022-08-28;4;6;7;1;74;False
2022-09-04;8;5;7;0;80;False
2022-09-11;13;3;14;0;69;False
2022-09-18;14;5;12;0;66;False
2022-09-25;15;5;9;0;68;False
2022-10-02;15;5;11;0;65;False
2022-10-09;13;5;12;0;63;False
2022-10-16;14;3;9;0;57;False
2022-10-23;22;5;16;0;53;False
2022-10-30;52;3;4;0;53;False
2022-11-06;9;5;11;0;59;False
2022-11-13;9;5;5;0;50;False
2022-11-20;4;3;5;0;62;False
2022-11-27;10;3;10;0;61;False
2022-12-04;6;6;7;0;52;False
2022-12-11;10;5;14;1;53;False
2022-12-18;28;3;11;2;50;False
2022-12-25;10;4;6;0;66;False
2023-01-01;17;4;12;0;77;False
2023-01-08;25;6;10;0;71;False
2023-01-15;37;7;11;0;69;False
2023-01-22;14;2;4;0;64;False
2023-01-29;3;7;4;0;69;False
