date;itv;Bret Easton Ellis;paris;Sleep apnoea;air travel;isPartial
2022-01-02;25;0;27;0;1;False
2022-01-09;23;0;24;0;1;False
2022-01-16;22;0;22;0;1;False
2022-01-23;25;0;24;0;1;False
2022-01-30;27;0;25;0;1;False
2022-02-06;31;0;25;0;1;False
2022-02-13;23;0;26;0;1;False
2022-02-20;24;0;25;0;1;False
2022-02-27;24;0;25;0;1;False
2022-03-06;30;0;27;0;1;False
2022-03-13;30;0;29;0;1;False
2022-03-20;21;0;27;0;1;False
2022-03-27;17;0;26;0;1;False
2022-04-03;18;0;27;0;1;False
2022-04-10;17;0;27;0;1;False
2022-04-17;21;0;28;0;1;False
2022-04-24;17;0;29;0;1;False
2022-05-01;18;0;33;0;1;False
2022-05-08;18;0;26;0;1;False
2022-05-15;15;0;29;0;1;False
2022-05-22;15;0;36;0;1;False
2022-05-29;21;0;36;0;1;False
2022-06-05;42;0;27;0;1;False
2022-06-12;34;0;27;0;1;False
2022-06-19;28;0;25;0;1;False
2022-06-26;28;0;25;0;1;False
2022-07-03;31;0;26;0;1;False
2022-07-10;30;0;29;0;1;False
2022-07-17;32;0;28;0;1;False
2022-07-24;27;0;27;0;1;False
2022-07-31;21;0;27;0;1;False
2022-08-07;16;0;27;0;1;False
2022-08-14;13;0;25;0;1;False
2022-08-21;15;0;28;0;1;False
2022-08-28;19;0;30;0;1;False
2022-09-04;24;0;27;0;1;False
2022-09-11;21;0;29;0;1;False
2022-09-18;22;0;28;0;1;False
2022-09-25;20;0;28;0;1;False
2022-10-02;20;0;31;0;1;False
2022-10-09;18;0;28;0;1;False
2022-10-16;18;0;28;0;1;False
2022-10-23;16;0;27;0;0;False
2022-10-30;17;0;30;0;0;False
2022-11-06;33;0;30;0;1;False
2022-11-13;29;0;26;0;0;False
2022-11-20;100;0;23;0;1;False
2022-11-27;44;0;25;0;1;False
2022-12-04;59;0;22;0;0;False
2022-12-11;24;0;23;0;0;False
2022-12-18;21;0;34;0;0;False
2022-12-25;22;0;39;0;1;False
2023-01-01;23;0;38;0;1;False
2023-01-08;24;0;36;0;1;False
2023-01-15;30;0;35;0;1;False
2023-01-22;27;0;34;0;1;False
2023-01-29;25;0;31;0;1;False
