date;Animation on TV;kelly osbourne;mortgage;Girls;air travel;isPartial
2023-01-01;0;1;33;95;1;False
2023-01-02;0;0;39;87;2;False
2023-01-03;0;0;49;86;1;False
2023-01-04;0;2;48;78;2;False
2023-01-05;0;6;46;73;1;False
2023-01-06;0;5;45;79;1;False
2023-01-07;0;3;40;87;1;False
2023-01-08;0;1;41;98;2;False
2023-01-09;0;1;48;69;1;False
2023-01-10;0;0;50;81;1;False
2023-01-11;0;0;43;76;2;False
2023-01-12;0;0;45;78;1;False
2023-01-13;0;0;42;75;1;False
2023-01-14;0;0;39;96;1;False
2023-01-15;0;0;39;96;1;False
2023-01-16;0;0;46;75;1;False
2023-01-17;0;0;46;72;1;False
2023-01-18;0;0;47;74;2;False
2023-01-19;0;0;45;68;1;False
2023-01-20;0;0;44;83;1;False
2023-01-21;0;0;38;100;1;False
2023-01-22;0;0;38;92;1;False
2023-01-23;0;0;50;82;1;False
2023-01-24;0;0;50;76;1;False
2023-01-25;0;0;45;80;1;False
2023-01-26;0;0;44;69;1;False
2023-01-27;0;0;40;78;1;False
2023-01-28;0;0;38;96;1;False
2023-01-29;0;0;39;97;1;False
2023-01-30;0;0;48;82;2;False
2023-01-31;0;0;48;74;2;False
