date;Adult literacy;Prevent strategy;Organised crime;Morocco holidays;air travel;isPartial
2022-01-02;4;7;15;25;87;False
2022-01-09;2;8;12;29;100;False
2022-01-16;6;7;15;23;74;False
2022-01-23;8;7;18;30;82;False
2022-01-30;3;8;11;32;93;False
2022-02-06;4;5;12;28;93;False
2022-02-13;4;8;9;33;94;False
2022-02-20;3;4;11;30;95;False
2022-02-27;3;7;13;30;83;False
2022-03-06;4;9;15;26;88;False
2022-03-13;3;7;11;30;87;False
2022-03-20;3;5;10;35;85;False
2022-03-27;3;5;11;33;90;False
2022-04-03;2;6;11;29;82;False
2022-04-10;1;5;56;27;71;False
2022-04-17;1;7;11;31;79;False
2022-04-24;5;9;14;31;82;False
2022-05-01;1;6;14;32;84;False
2022-05-08;2;8;17;29;87;False
2022-05-15;4;7;13;42;90;False
2022-05-22;1;7;15;34;85;False
2022-05-29;1;3;12;32;87;False
2022-06-05;1;6;12;33;97;False
2022-06-12;2;7;9;29;85;False
2022-06-19;2;4;10;38;79;False
2022-06-26;4;6;9;31;85;False
2022-07-03;2;6;9;31;89;False
2022-07-10;0;5;8;30;92;False
2022-07-17;2;6;8;32;88;False
2022-07-24;3;4;11;40;87;False
2022-07-31;5;3;11;34;78;False
2022-08-07;0;5;9;36;76;False
2022-08-14;2;6;14;30;75;False
2022-08-21;1;3;12;37;65;False
2022-08-28;0;7;8;36;72;False
2022-09-04;4;7;8;30;77;False
2022-09-11;3;7;13;37;67;False
2022-09-18;3;11;18;30;66;False
2022-09-25;2;9;14;33;66;False
2022-10-02;3;7;16;33;63;False
2022-10-09;3;10;12;35;62;False
2022-10-16;2;7;10;37;55;False
2022-10-23;2;5;9;36;52;False
2022-10-30;1;6;12;35;51;False
2022-11-06;3;7;10;35;58;False
2022-11-13;2;7;8;34;48;False
2022-11-20;4;6;10;31;60;False
2022-11-27;0;7;10;29;59;False
2022-12-04;2;5;8;39;50;False
2022-12-11;0;4;7;44;52;False
2022-12-18;1;3;7;36;48;False
2022-12-25;3;2;10;51;64;False
2023-01-01;0;8;12;70;74;False
2023-01-08;3;9;10;69;69;False
2023-01-15;2;8;14;61;67;False
2023-01-22;2;8;18;54;62;False
2023-01-29;4;8;14;47;67;False
