date;peter kay;Stamp duty;Champions Cup;Coronation Street;air travel;isPartial
2022-01-02;0;3;0;7;1;False
2022-01-09;0;4;1;6;1;False
2022-01-16;0;4;1;5;1;False
2022-01-23;0;4;1;6;1;False
2022-01-30;0;4;0;6;1;False
2022-02-06;0;4;1;5;1;False
2022-02-13;0;3;1;6;1;False
2022-02-20;0;3;1;7;1;False
2022-02-27;0;3;1;6;1;False
2022-03-06;0;3;1;7;1;False
2022-03-13;1;3;1;4;1;False
2022-03-20;1;3;1;6;1;False
2022-03-27;1;3;1;4;1;False
2022-04-03;1;3;1;5;1;False
2022-04-10;3;3;2;5;1;False
2022-04-17;1;3;1;6;1;False
2022-04-24;2;3;1;5;1;False
2022-05-01;1;3;2;5;1;False
2022-05-08;0;3;2;4;1;False
2022-05-15;1;3;1;5;1;False
2022-05-22;2;3;2;5;1;False
2022-05-29;1;3;1;7;1;False
2022-06-05;1;3;0;6;1;False
2022-06-12;1;3;0;7;1;False
2022-06-19;1;3;0;6;1;False
2022-06-26;1;3;0;4;1;False
2022-07-03;1;3;0;7;1;False
2022-07-10;1;3;0;4;1;False
2022-07-17;1;3;0;5;1;False
2022-07-24;1;3;0;5;1;False
2022-07-31;1;3;0;4;1;False
2022-08-07;1;3;0;5;1;False
2022-08-14;1;3;0;5;1;False
2022-08-21;1;3;1;5;1;False
2022-08-28;1;3;0;6;1;False
2022-09-04;1;3;1;5;1;False
2022-09-11;0;3;0;5;1;False
2022-09-18;1;28;0;8;1;False
2022-09-25;1;7;0;7;1;False
2022-10-02;1;3;0;5;1;False
2022-10-09;1;3;1;6;1;False
2022-10-16;1;3;0;5;1;False
2022-10-23;1;3;1;5;0;False
2022-10-30;1;2;1;4;0;False
2022-11-06;100;3;1;5;1;False
2022-11-13;12;3;1;5;0;False
2022-11-20;2;2;1;5;1;False
2022-11-27;5;2;1;5;1;False
2022-12-04;6;2;1;4;0;False
2022-12-11;6;2;1;4;0;False
2022-12-18;3;2;1;7;0;False
2022-12-25;2;1;0;8;1;False
2023-01-01;2;2;0;8;1;False
2023-01-08;2;3;1;6;1;False
2023-01-15;1;3;1;6;1;False
2023-01-22;1;3;1;7;1;False
2023-01-29;1;3;1;5;1;False
