date;Plants;Darts;palestinian territories;Television industry;air travel;isPartial
2022-01-02;27;100;0;0;2;False
2022-01-09;28;24;0;0;2;False
2022-01-16;29;13;0;0;2;False
2022-01-23;30;20;0;0;2;False
2022-01-30;32;43;0;0;2;False
2022-02-06;31;20;0;0;2;False
2022-02-13;28;16;0;0;2;False
2022-02-20;32;15;0;0;2;False
2022-02-27;34;24;0;0;2;False
2022-03-06;39;23;0;0;2;False
2022-03-13;46;13;0;0;2;False
2022-03-20;57;14;0;0;2;False
2022-03-27;45;15;0;0;2;False
2022-04-03;42;18;0;0;2;False
2022-04-10;52;17;0;0;1;False
2022-04-17;58;15;0;0;2;False
2022-04-24;52;10;0;0;2;False
2022-05-01;59;11;0;0;2;False
2022-05-08;56;13;0;0;2;False
2022-05-15;58;10;0;0;2;False
2022-05-22;53;11;0;0;2;False
2022-05-29;48;13;0;0;2;False
2022-06-05;43;13;0;0;2;False
2022-06-12;50;18;0;0;2;False
2022-06-19;46;16;0;0;2;False
2022-06-26;39;9;0;0;2;False
2022-07-03;44;9;0;0;2;False
2022-07-10;44;9;0;0;2;False
2022-07-17;35;28;0;0;2;False
2022-07-24;37;15;0;0;2;False
2022-07-31;38;8;0;0;2;False
2022-08-07;39;9;0;0;2;False
2022-08-14;31;8;0;0;2;False
2022-08-21;30;8;0;0;1;False
2022-08-28;34;8;0;0;1;False
2022-09-04;29;8;0;0;2;False
2022-09-11;30;11;0;0;1;False
2022-09-18;31;11;0;0;1;False
2022-09-25;29;8;0;0;1;False
2022-10-02;28;22;0;0;1;False
2022-10-09;26;11;0;0;1;False
2022-10-16;26;10;0;0;1;False
2022-10-23;22;15;0;0;1;False
2022-10-30;23;16;0;0;1;False
2022-11-06;22;14;0;0;1;False
2022-11-13;22;31;0;0;1;False
2022-11-20;21;20;0;0;1;False
2022-11-27;22;17;0;0;1;False
2022-12-04;19;9;0;0;1;False
2022-12-11;17;31;0;0;1;False
2022-12-18;16;61;0;0;1;False
2022-12-25;16;88;0;0;1;False
2023-01-01;22;94;0;0;2;False
2023-01-08;22;25;0;0;1;False
2023-01-15;24;20;0;0;1;False
2023-01-22;24;21;0;0;1;False
2023-01-29;27;30;0;0;1;False
