date;Slavery;Oceans;Felix Dennis;Surfing;air travel;isPartial
2022-01-02;70;66;1;45;46;False
2022-01-09;70;67;1;46;50;False
2022-01-16;76;55;1;43;39;False
2022-01-23;73;59;1;46;43;False
2022-01-30;71;73;1;43;49;False
2022-02-06;73;76;0;41;49;False
2022-02-13;65;57;0;47;49;False
2022-02-20;67;64;1;42;50;False
2022-02-27;70;66;0;46;44;False
2022-03-06;67;76;0;41;46;False
2022-03-13;67;66;0;46;46;False
2022-03-20;100;57;1;52;45;False
2022-03-27;86;52;1;47;48;False
2022-04-03;59;50;1;58;44;False
2022-04-10;61;57;0;57;38;False
2022-04-17;66;57;0;56;42;False
2022-04-24;72;53;0;52;43;False
2022-05-01;72;59;1;57;45;False
2022-05-08;75;52;1;49;46;False
2022-05-15;73;56;0;57;48;False
2022-05-22;70;64;0;57;45;False
2022-05-29;53;64;1;67;46;False
2022-06-05;61;73;1;63;51;False
2022-06-12;65;57;1;72;45;False
2022-06-19;71;54;1;65;42;False
2022-06-26;70;51;0;57;45;False
2022-07-03;52;44;0;58;47;False
2022-07-10;55;50;0;77;49;False
2022-07-17;51;59;0;77;47;False
2022-07-24;48;60;0;82;46;False
2022-07-31;47;46;0;78;42;False
2022-08-07;50;44;1;86;40;False
2022-08-14;45;45;1;74;40;False
2022-08-21;50;46;1;71;35;False
2022-08-28;53;46;1;66;38;False
2022-09-04;74;44;0;54;41;False
2022-09-11;86;57;1;52;36;False
2022-09-18;85;54;2;57;34;False
2022-09-25;66;47;1;47;35;False
2022-10-02;71;48;1;46;34;False
2022-10-09;70;50;1;42;32;False
2022-10-16;67;47;0;41;29;False
2022-10-23;63;38;1;47;27;False
2022-10-30;71;44;1;40;27;False
2022-11-06;75;47;0;38;30;False
2022-11-13;70;49;0;36;26;False
2022-11-20;65;42;0;35;32;False
2022-11-27;70;42;1;40;31;False
2022-12-04;74;40;1;36;27;False
2022-12-11;64;40;0;36;27;False
2022-12-18;54;38;1;32;26;False
2022-12-25;53;55;0;49;34;False
2023-01-01;77;63;2;66;39;False
2023-01-08;74;47;0;44;36;False
2023-01-15;67;58;0;44;35;False
2023-01-22;72;53;1;57;33;False
2023-01-29;73;55;0;43;35;False
