date;Referees;Antarctica holidays;Lionel Messi;Drag;air travel;isPartial
2022-01-02;3;0;3;39;6;False
2022-01-09;5;0;2;37;7;False
2022-01-16;4;0;5;34;5;False
2022-01-23;3;0;3;32;5;False
2022-01-30;3;0;4;42;6;False
2022-02-06;3;0;4;35;6;False
2022-02-13;2;0;4;44;6;False
2022-02-20;2;0;3;56;6;False
2022-02-27;3;0;3;43;6;False
2022-03-06;3;0;4;40;6;False
2022-03-13;3;0;4;31;6;False
2022-03-20;2;0;3;30;6;False
2022-03-27;2;0;3;28;6;False
2022-04-03;2;0;4;30;6;False
2022-04-10;2;0;3;34;5;False
2022-04-17;4;0;4;32;5;False
2022-04-24;9;0;3;27;5;False
2022-05-01;4;0;2;28;6;False
2022-05-08;3;0;3;25;6;False
2022-05-15;3;0;4;43;6;False
2022-05-22;2;0;2;36;6;False
2022-05-29;2;0;4;29;6;False
2022-06-05;1;0;4;28;7;False
2022-06-12;1;0;3;26;6;False
2022-06-19;1;0;3;25;5;False
2022-06-26;1;0;3;26;6;False
2022-07-03;1;0;2;25;6;False
2022-07-10;1;0;3;27;6;False
2022-07-17;1;0;3;25;6;False
2022-07-24;2;0;3;32;6;False
2022-07-31;2;0;6;29;5;False
2022-08-07;2;0;5;29;5;False
2022-08-14;2;0;2;28;5;False
2022-08-21;2;0;5;27;4;False
2022-08-28;3;0;5;32;5;False
2022-09-04;3;0;3;35;5;False
2022-09-11;2;0;5;33;5;False
2022-09-18;2;0;4;53;4;False
2022-09-25;3;0;4;40;4;False
2022-10-02;2;0;5;32;4;False
2022-10-09;2;0;4;30;4;False
2022-10-16;3;0;5;29;4;False
2022-10-23;3;0;5;29;3;False
2022-10-30;2;0;7;34;3;False
2022-11-06;3;0;5;33;4;False
2022-11-13;3;0;6;29;3;False
2022-11-20;9;0;15;29;4;False
2022-11-27;7;0;20;25;4;False
2022-12-04;5;0;18;24;3;False
2022-12-11;4;0;24;25;3;False
2022-12-18;4;0;100;22;3;False
2022-12-25;2;0;9;23;4;False
2023-01-01;2;0;6;31;5;False
2023-01-08;3;0;6;31;5;False
2023-01-15;5;0;4;28;5;False
2023-01-22;3;0;7;36;4;False
2023-01-29;2;0;5;28;4;False
