date;Jenna Coleman;Supply chain crisis;Corinne Bailey Rae;Rentokil Initial;air travel;isPartial
2023-01-01;14;0;5;0;34;False
2023-01-02;13;0;0;4;40;False
2023-01-03;16;2;4;0;26;False
2023-01-04;20;0;2;0;40;False
2023-01-05;7;0;0;0;33;False
2023-01-06;14;0;4;0;33;False
2023-01-07;18;2;6;0;24;False
2023-01-08;14;5;0;0;38;False
2023-01-09;13;0;3;5;22;False
2023-01-10;8;6;10;0;35;False
2023-01-11;16;4;0;2;40;False
2023-01-12;8;0;0;0;33;False
2023-01-13;16;0;0;0;27;False
2023-01-14;25;0;2;3;25;False
2023-01-15;12;5;0;0;30;False
2023-01-16;18;0;0;0;31;False
2023-01-17;12;9;0;0;25;False
2023-01-18;13;0;4;0;36;False
2023-01-19;11;0;4;0;33;False
2023-01-20;13;6;2;0;26;False
2023-01-21;23;0;3;0;28;False
2023-01-22;11;0;7;0;31;False
2023-01-23;4;0;0;0;32;False
2023-01-24;12;0;2;0;25;False
2023-01-25;14;0;0;6;34;False
2023-01-26;16;0;5;0;30;False
2023-01-27;100;0;5;0;21;False
2023-01-28;39;0;0;0;29;False
2023-01-29;96;0;0;0;27;False
2023-01-30;24;0;7;3;45;False
2023-01-31;16;0;0;12;37;False
