date;Vincent van Gogh;Ski resorts;Podemos;renewable energy;air travel;isPartial
2022-01-02;20;77;3;36;45;False
2022-01-09;23;73;2;43;49;False
2022-01-16;18;57;1;44;38;False
2022-01-23;14;48;3;48;42;False
2022-01-30;19;53;2;52;47;False
2022-02-06;14;53;1;54;48;False
2022-02-13;13;46;2;38;48;False
2022-02-20;14;45;2;44;49;False
2022-02-27;14;29;1;52;43;False
2022-03-06;16;27;2;65;45;False
2022-03-13;15;26;3;56;45;False
2022-03-20;12;23;2;59;44;False
2022-03-27;15;18;1;52;46;False
2022-04-03;12;18;2;52;42;False
2022-04-10;12;17;1;39;37;False
2022-04-17;10;14;1;41;41;False
2022-04-24;13;13;1;49;42;False
2022-05-01;13;12;2;45;43;False
2022-05-08;14;11;2;47;44;False
2022-05-15;16;10;3;47;46;False
2022-05-22;13;12;2;46;44;False
2022-05-29;11;11;2;33;45;False
2022-06-05;13;10;2;46;50;False
2022-06-12;10;9;1;43;43;False
2022-06-19;11;12;2;39;40;False
2022-06-26;11;12;2;38;43;False
2022-07-03;11;14;2;40;46;False
2022-07-10;22;11;1;39;47;False
2022-07-17;9;14;1;33;45;False
2022-07-24;10;18;1;36;45;False
2022-07-31;9;19;3;36;40;False
2022-08-07;8;12;1;40;39;False
2022-08-14;7;16;2;34;38;False
2022-08-21;7;17;1;46;33;False
2022-08-28;9;21;0;43;37;False
2022-09-04;11;23;1;48;40;False
2022-09-11;13;21;0;44;35;False
2022-09-18;16;25;2;44;33;False
2022-09-25;16;26;3;45;34;False
2022-10-02;17;23;2;48;32;False
2022-10-09;26;26;2;56;31;False
2022-10-16;18;24;1;48;28;False
2022-10-23;11;27;3;44;26;False
2022-10-30;11;27;1;48;26;False
2022-11-06;12;28;1;56;29;False
2022-11-13;15;29;2;48;25;False
2022-11-20;11;32;1;47;31;False
2022-11-27;15;34;2;51;30;False
2022-12-04;12;34;1;51;26;False
2022-12-11;14;45;2;45;26;False
2022-12-18;10;48;1;29;25;False
2022-12-25;13;65;2;22;33;False
2023-01-01;12;100;2;36;38;False
2023-01-08;12;63;2;44;35;False
2023-01-15;14;52;2;50;34;False
2023-01-22;13;55;2;49;32;False
2023-01-29;18;43;0;49;34;False
