date;Air pollution;wirral;Science;United States;air travel;isPartial
2022-01-02;1;24;64;7;4;False
2022-01-09;2;23;81;7;4;False
2022-01-16;2;22;77;7;3;False
2022-01-23;1;22;82;7;4;False
2022-01-30;2;23;83;7;4;False
2022-02-06;1;22;89;6;4;False
2022-02-13;1;25;81;7;4;False
2022-02-20;1;24;77;9;4;False
2022-02-27;2;24;85;8;4;False
2022-03-06;2;23;91;8;4;False
2022-03-13;2;25;93;8;4;False
2022-03-20;4;28;79;8;4;False
2022-03-27;2;26;86;8;4;False
2022-04-03;1;26;84;8;4;False
2022-04-10;1;23;67;7;3;False
2022-04-17;1;25;70;8;4;False
2022-04-24;3;24;85;7;4;False
2022-05-01;2;29;86;8;4;False
2022-05-08;2;24;98;8;4;False
2022-05-15;1;25;100;7;4;False
2022-05-22;1;21;86;9;4;False
2022-05-29;1;23;59;16;4;False
2022-06-05;1;24;84;7;4;False
2022-06-12;2;22;91;7;4;False
2022-06-19;1;24;83;8;4;False
2022-06-26;1;23;69;7;4;False
2022-07-03;1;23;60;7;4;False
2022-07-10;1;25;59;8;4;False
2022-07-17;1;25;57;7;4;False
2022-07-24;1;24;54;8;4;False
2022-07-31;1;22;48;7;4;False
2022-08-07;1;24;55;7;3;False
2022-08-14;1;24;54;7;3;False
2022-08-21;1;24;73;6;3;False
2022-08-28;1;23;67;7;3;False
2022-09-04;1;24;75;7;4;False
2022-09-11;3;23;80;7;3;False
2022-09-18;1;20;77;7;3;False
2022-09-25;1;22;81;7;3;False
2022-10-02;1;22;82;15;3;False
2022-10-09;1;21;83;7;3;False
2022-10-16;1;20;77;8;3;False
2022-10-23;1;20;74;7;2;False
2022-10-30;2;22;71;6;2;False
2022-11-06;1;21;87;10;3;False
2022-11-13;2;19;86;8;2;False
2022-11-20;1;17;73;8;3;False
2022-11-27;2;19;77;8;3;False
2022-12-04;1;19;74;6;2;False
2022-12-11;2;22;77;6;2;False
2022-12-18;1;22;50;8;2;False
2022-12-25;1;31;47;7;3;False
2023-01-01;1;23;70;6;3;False
2023-01-08;1;24;85;6;3;False
2023-01-15;2;24;80;6;3;False
2023-01-22;2;21;84;7;3;False
2023-01-29;2;23;87;7;3;False
