date;Stoke City;JD Sports Fashion;Protest;Tony Blair;air travel;isPartial
2022-01-02;21;0;11;100;8;False
2022-01-09;23;0;17;22;9;False
2022-01-16;26;0;18;9;7;False
2022-01-23;25;0;19;23;7;False
2022-01-30;22;0;16;12;8;False
2022-02-06;24;0;16;6;8;False
2022-02-13;18;0;14;5;8;False
2022-02-20;20;0;27;6;8;False
2022-02-27;21;0;27;6;7;False
2022-03-06;19;0;18;6;8;False
2022-03-13;20;0;24;6;8;False
2022-03-20;11;0;17;5;8;False
2022-03-27;15;0;12;4;8;False
2022-04-03;18;0;15;3;7;False
2022-04-10;16;0;24;5;6;False
2022-04-17;18;0;14;5;7;False
2022-04-24;13;0;12;4;7;False
2022-05-01;15;0;12;6;8;False
2022-05-08;11;0;11;5;8;False
2022-05-15;9;0;12;5;8;False
2022-05-22;9;0;11;5;8;False
2022-05-29;10;0;12;8;8;False
2022-06-05;10;0;13;7;9;False
2022-06-12;12;0;25;10;8;False
2022-06-19;12;0;18;5;7;False
2022-06-26;12;0;24;7;8;False
2022-07-03;12;0;46;10;8;False
2022-07-10;15;0;14;6;8;False
2022-07-17;19;0;22;5;8;False
2022-07-24;21;0;11;5;8;False
2022-07-31;23;0;12;4;7;False
2022-08-07;23;0;11;4;7;False
2022-08-14;30;0;10;4;7;False
2022-08-21;32;0;14;4;6;False
2022-08-28;29;0;11;7;6;False
2022-09-04;22;0;17;24;7;False
2022-09-11;22;0;15;11;6;False
2022-09-18;12;0;17;18;6;False
2022-09-25;11;0;22;7;6;False
2022-10-02;28;0;16;5;6;False
2022-10-09;17;0;16;5;6;False
2022-10-16;24;0;26;9;5;False
2022-10-23;15;0;16;14;5;False
2022-10-30;20;0;14;6;5;False
2022-11-06;22;0;29;9;5;False
2022-11-13;9;0;16;12;4;False
2022-11-20;7;0;16;8;5;False
2022-11-27;9;0;16;7;5;False
2022-12-04;12;0;11;6;4;False
2022-12-11;12;0;9;5;5;False
2022-12-18;10;0;8;5;4;False
2022-12-25;23;0;6;4;6;False
2023-01-01;21;0;8;6;7;False
2023-01-08;24;0;11;4;6;False
2023-01-15;22;0;18;5;6;False
2023-01-22;20;0;14;5;6;False
2023-01-29;31;0;14;5;6;False
