date;Caroline Polachek;Ceramics;Ruth Rogers;New York City FC;air travel;isPartial
2022-01-02;8;90;0;4;71;False
2022-01-09;6;85;0;5;77;False
2022-01-16;5;84;1;4;60;False
2022-01-23;3;89;0;2;67;False
2022-01-30;1;92;3;0;75;False
2022-02-06;6;97;2;2;76;False
2022-02-13;5;90;1;3;76;False
2022-02-20;4;89;3;3;77;False
2022-02-27;2;94;0;4;68;False
2022-03-06;2;92;0;5;71;False
2022-03-13;2;77;1;4;71;False
2022-03-20;4;81;1;1;69;False
2022-03-27;2;81;1;2;73;False
2022-04-03;3;88;0;2;67;False
2022-04-10;3;75;2;1;58;False
2022-04-17;4;79;0;3;65;False
2022-04-24;2;85;1;5;67;False
2022-05-01;2;80;0;5;69;False
2022-05-08;3;87;1;3;71;False
2022-05-15;12;75;1;3;73;False
2022-05-22;4;76;0;4;69;False
2022-05-29;4;84;1;5;71;False
2022-06-05;3;79;2;2;79;False
2022-06-12;4;74;0;3;69;False
2022-06-19;5;77;0;3;64;False
2022-06-26;28;73;2;4;69;False
2022-07-03;4;76;0;6;73;False
2022-07-10;4;75;1;3;75;False
2022-07-17;3;69;1;5;72;False
2022-07-24;2;77;1;3;71;False
2022-07-31;6;80;3;2;64;False
2022-08-07;2;71;1;2;62;False
2022-08-14;2;80;1;0;61;False
2022-08-21;6;74;0;3;53;False
2022-08-28;3;66;0;2;58;False
2022-09-04;1;76;0;4;63;False
2022-09-11;4;85;1;2;55;False
2022-09-18;6;76;1;2;52;False
2022-09-25;3;83;1;1;54;False
2022-10-02;3;82;1;2;52;False
2022-10-09;3;83;2;3;49;False
2022-10-16;7;82;3;5;45;False
2022-10-23;5;87;0;4;42;False
2022-10-30;2;96;0;4;42;False
2022-11-06;3;87;1;1;47;False
2022-11-13;5;92;0;3;39;False
2022-11-20;3;98;1;1;49;False
2022-11-27;3;95;0;2;48;False
2022-12-04;12;89;1;3;41;False
2022-12-11;11;86;0;1;42;False
2022-12-18;5;66;3;2;39;False
2022-12-25;4;63;2;2;52;False
2023-01-01;7;83;7;1;61;False
2023-01-08;10;94;1;0;56;False
2023-01-15;9;92;1;1;54;False
2023-01-22;10;85;3;1;50;False
2023-01-29;14;100;2;3;54;False
