date;somerset;Beck;London Underground;Law;air travel;isPartial
2022-01-02;29;5;6;83;3;False
2022-01-09;23;5;6;92;3;False
2022-01-16;28;5;6;93;2;False
2022-01-23;27;5;7;91;2;False
2022-01-30;27;5;7;85;3;False
2022-02-06;25;5;8;93;3;False
2022-02-13;32;5;9;79;3;False
2022-02-20;26;6;9;100;3;False
2022-02-27;24;5;14;95;2;False
2022-03-06;24;5;8;89;3;False
2022-03-13;24;5;8;92;3;False
2022-03-20;27;5;8;83;2;False
2022-03-27;24;5;7;86;3;False
2022-04-03;26;5;8;82;2;False
2022-04-10;28;5;8;74;2;False
2022-04-17;26;5;8;80;2;False
2022-04-24;28;5;8;0;2;False
2022-05-01;34;7;9;93;2;False
2022-05-08;30;7;8;0;3;False
2022-05-15;28;7;9;94;3;False
2022-05-22;30;6;10;0;2;False
2022-05-29;30;32;11;73;3;False
2022-06-05;29;10;13;0;3;False
2022-06-12;28;27;10;0;2;False
2022-06-19;32;7;13;0;2;False
2022-06-26;29;5;9;79;2;False
2022-07-03;31;6;9;0;3;False
2022-07-10;34;6;9;0;3;False
2022-07-17;28;6;9;0;3;False
2022-07-24;30;5;10;74;3;False
2022-07-31;30;5;9;0;2;False
2022-08-07;31;6;10;0;2;False
2022-08-14;28;5;11;66;2;False
2022-08-21;32;5;9;0;2;False
2022-08-28;28;5;9;0;2;False
2022-09-04;26;5;8;0;2;False
2022-09-11;25;5;10;0;2;False
2022-09-18;25;7;9;82;2;False
2022-09-25;26;6;9;87;2;False
2022-10-02;24;5;9;92;2;False
2022-10-09;23;5;8;0;2;False
2022-10-16;22;5;8;0;2;False
2022-10-23;25;5;9;81;1;False
2022-10-30;24;5;9;84;1;False
2022-11-06;25;5;10;0;2;False
2022-11-13;25;5;8;86;1;False
2022-11-20;23;4;8;0;2;False
2022-11-27;24;5;8;82;2;False
2022-12-04;23;4;9;0;1;False
2022-12-11;23;5;11;71;1;False
2022-12-18;23;4;8;0;1;False
2022-12-25;22;4;9;53;2;False
2023-01-01;25;5;8;74;2;False
2023-01-08;24;63;7;80;2;False
2023-01-15;29;9;7;0;2;False
2023-01-22;24;8;8;0;2;False
2023-01-29;25;9;8;0;2;False
