date;Federal Reserve;Azerbaijan;Helen Garner;Michael Fassbender;air travel;isPartial
2023-01-01;0;55;0;27;76;False
2023-01-02;18;52;0;9;90;False
2023-01-03;0;27;0;10;59;False
2023-01-04;20;53;0;15;89;False
2023-01-05;16;52;0;21;73;False
2023-01-06;0;45;0;19;73;False
2023-01-07;0;47;8;38;53;False
2023-01-08;10;44;0;12;84;False
2023-01-09;17;66;0;5;50;False
2023-01-10;12;36;0;27;79;False
2023-01-11;14;35;0;7;90;False
2023-01-12;14;77;8;0;75;False
2023-01-13;21;56;0;0;60;False
2023-01-14;5;33;13;26;56;False
2023-01-15;0;41;0;27;66;False
2023-01-16;23;47;0;6;68;False
2023-01-17;12;19;0;11;56;False
2023-01-18;8;51;0;27;80;False
2023-01-19;9;51;12;17;73;False
2023-01-20;21;28;0;12;59;False
2023-01-21;13;52;0;0;63;False
2023-01-22;9;35;0;0;70;False
2023-01-23;18;30;0;0;72;False
2023-01-24;15;50;0;7;55;False
2023-01-25;0;53;0;27;75;False
2023-01-26;0;56;0;18;68;False
2023-01-27;5;56;0;24;47;False
2023-01-28;11;55;0;7;66;False
2023-01-29;11;58;0;9;60;False
2023-01-30;18;49;0;8;100;False
2023-01-31;14;49;0;13;84;False
