date;Women's tops;Nicholas Stern;tyre nichols;Bolivia;air travel;isPartial
2022-01-02;11;0;0;5;10;False
2022-01-09;10;0;0;7;12;False
2022-01-16;11;0;0;7;9;False
2022-01-23;10;0;0;7;10;False
2022-01-30;13;0;0;9;11;False
2022-02-06;12;0;0;6;11;False
2022-02-13;12;0;0;6;11;False
2022-02-20;13;0;0;5;11;False
2022-02-27;12;0;0;7;10;False
2022-03-06;13;0;0;6;10;False
2022-03-13;13;0;0;7;10;False
2022-03-20;16;0;0;9;10;False
2022-03-27;13;0;0;11;11;False
2022-04-03;12;0;0;6;10;False
2022-04-10;14;0;0;5;8;False
2022-04-17;15;0;0;8;9;False
2022-04-24;13;0;0;6;10;False
2022-05-01;17;0;0;6;10;False
2022-05-08;15;0;0;6;10;False
2022-05-15;15;0;0;6;11;False
2022-05-22;14;0;0;6;10;False
2022-05-29;13;0;0;6;10;False
2022-06-05;13;0;0;5;12;False
2022-06-12;15;0;0;6;10;False
2022-06-19;14;0;0;5;9;False
2022-06-26;14;0;0;5;10;False
2022-07-03;13;0;0;5;11;False
2022-07-10;15;0;0;6;11;False
2022-07-17;12;0;0;6;10;False
2022-07-24;12;0;0;6;10;False
2022-07-31;13;0;0;5;9;False
2022-08-07;13;0;0;6;9;False
2022-08-14;11;0;0;5;9;False
2022-08-21;11;0;0;5;8;False
2022-08-28;12;0;0;5;9;False
2022-09-04;10;0;0;5;9;False
2022-09-11;11;0;0;6;8;False
2022-09-18;10;0;0;7;8;False
2022-09-25;11;0;0;10;8;False
2022-10-02;13;0;0;8;8;False
2022-10-09;11;0;0;7;7;False
2022-10-16;11;0;0;6;7;False
2022-10-23;11;0;0;6;6;False
2022-10-30;11;0;0;6;6;False
2022-11-06;12;0;0;7;7;False
2022-11-13;14;0;0;5;6;False
2022-11-20;15;0;0;12;7;False
2022-11-27;16;0;0;5;7;False
2022-12-04;15;0;0;5;6;False
2022-12-11;12;0;0;6;6;False
2022-12-18;8;0;0;5;6;False
2022-12-25;11;0;0;6;8;False
2023-01-01;9;0;0;9;9;False
2023-01-08;9;0;0;6;8;False
2023-01-15;10;0;2;6;8;False
2023-01-22;10;0;100;7;7;False
2023-01-29;10;0;45;6;8;False
