date;Hamza Yassin;Tomb raider;Angela Rayner;Accountancy;air travel;isPartial
2022-01-02;0;10;11;4;5;False
2022-01-09;0;6;15;4;6;False
2022-01-16;0;7;6;5;4;False
2022-01-23;0;6;14;5;5;False
2022-01-30;0;6;5;5;5;False
2022-02-06;0;5;2;5;6;False
2022-02-13;0;6;2;4;6;False
2022-02-20;0;6;3;5;6;False
2022-02-27;0;5;1;4;5;False
2022-03-06;0;5;1;4;5;False
2022-03-13;0;5;2;4;5;False
2022-03-20;0;6;3;4;5;False
2022-03-27;0;8;3;5;5;False
2022-04-03;0;6;1;4;5;False
2022-04-10;0;5;2;3;4;False
2022-04-17;0;5;4;4;5;False
2022-04-24;0;5;100;5;5;False
2022-05-01;0;6;16;4;5;False
2022-05-08;0;5;5;5;5;False
2022-05-15;0;5;2;5;5;False
2022-05-22;0;5;4;4;5;False
2022-05-29;0;5;2;3;5;False
2022-06-05;0;5;4;5;6;False
2022-06-12;0;5;2;5;5;False
2022-06-19;0;5;2;4;5;False
2022-06-26;0;5;9;4;5;False
2022-07-03;0;4;12;4;5;False
2022-07-10;0;4;8;4;5;False
2022-07-17;0;5;4;4;5;False
2022-07-24;0;5;6;4;5;False
2022-07-31;0;5;2;4;5;False
2022-08-07;3;5;1;4;5;False
2022-08-14;1;4;1;4;4;False
2022-08-21;0;8;1;4;4;False
2022-08-28;0;6;1;4;4;False
2022-09-04;0;5;5;5;5;False
2022-09-11;0;5;1;5;4;False
2022-09-18;13;5;3;5;4;False
2022-09-25;14;4;7;5;4;False
2022-10-02;6;5;2;4;4;False
2022-10-09;9;5;3;5;4;False
2022-10-16;15;5;5;4;3;False
2022-10-23;11;8;6;4;3;False
2022-10-30;6;4;2;4;3;False
2022-11-06;11;5;6;4;3;False
2022-11-13;9;4;7;4;3;False
2022-11-20;6;4;1;4;4;False
2022-11-27;6;5;2;4;3;False
2022-12-04;2;4;6;4;3;False
2022-12-11;37;4;1;3;3;False
2022-12-18;22;5;1;3;3;False
2022-12-25;2;6;1;2;4;False
2023-01-01;2;5;1;4;4;False
2023-01-08;2;5;2;4;4;False
2023-01-15;1;5;2;5;4;False
2023-01-22;2;6;3;5;4;False
2023-01-29;1;6;2;5;4;False
