date;Australia Day;Aukus;Miami Dolphins;University of Nottingham;air travel;isPartial
2022-01-02;21;3;29;46;62;False
2022-01-09;22;2;41;55;71;False
2022-01-16;29;2;14;55;53;False
2022-01-23;100;2;20;61;58;False
2022-01-30;12;3;28;61;66;False
2022-02-06;12;0;19;60;66;False
2022-02-13;14;2;18;48;67;False
2022-02-20;13;2;13;52;67;False
2022-02-27;18;7;14;50;59;False
2022-03-06;17;2;14;52;62;False
2022-03-13;17;1;25;54;62;False
2022-03-20;23;2;31;55;60;False
2022-03-27;29;0;19;49;64;False
2022-04-03;15;3;12;54;58;False
2022-04-10;14;3;18;38;51;False
2022-04-17;20;2;10;38;56;False
2022-04-24;24;1;14;47;58;False
2022-05-01;31;2;22;51;60;False
2022-05-08;27;2;24;59;61;False
2022-05-15;10;3;17;53;64;False
2022-05-22;13;2;11;46;60;False
2022-05-29;13;1;9;36;62;False
2022-06-05;13;1;11;48;69;False
2022-06-12;20;1;13;44;60;False
2022-06-19;26;0;9;49;56;False
2022-06-26;12;1;8;43;60;False
2022-07-03;12;3;8;45;63;False
2022-07-10;16;2;9;47;65;False
2022-07-17;15;2;10;41;62;False
2022-07-24;12;1;12;41;62;False
2022-07-31;13;2;14;44;56;False
2022-08-07;14;0;16;44;54;False
2022-08-14;16;2;10;82;53;False
2022-08-21;13;1;17;56;46;False
2022-08-28;26;3;20;52;51;False
2022-09-04;26;0;15;60;55;False
2022-09-11;16;1;36;68;48;False
2022-09-18;12;1;40;66;47;False
2022-09-25;10;3;62;84;47;False
2022-10-02;16;1;21;78;45;False
2022-10-09;14;0;30;79;44;False
2022-10-16;13;0;26;64;39;False
2022-10-23;15;1;29;56;37;False
2022-10-30;14;1;31;55;36;False
2022-11-06;19;1;32;55;41;False
2022-11-13;22;0;34;58;34;False
2022-11-20;22;0;19;49;43;False
2022-11-27;23;0;32;46;42;False
2022-12-04;17;1;27;47;36;False
2022-12-11;19;0;27;44;37;False
2022-12-18;35;0;21;35;34;False
2022-12-25;32;0;33;21;46;False
2023-01-01;24;1;32;39;53;False
2023-01-08;20;1;35;51;49;False
2023-01-15;24;1;45;50;48;False
2023-01-22;99;1;14;56;44;False
2023-01-29;16;5;13;53;47;False
