date;Eddie Jones;H&M;katy perry;Financial sector;air travel;isPartial
2022-01-02;0;75;6;0;5;False
2022-01-09;0;66;8;0;5;False
2022-01-16;1;65;7;0;4;False
2022-01-23;0;67;6;0;4;False
2022-01-30;2;72;6;0;5;False
2022-02-06;1;65;5;0;5;False
2022-02-13;1;67;6;0;5;False
2022-02-20;1;74;5;1;5;False
2022-02-27;1;67;5;0;4;False
2022-03-06;2;63;6;0;5;False
2022-03-13;2;77;5;1;5;False
2022-03-20;2;86;5;0;5;False
2022-03-27;1;74;6;0;5;False
2022-04-03;0;75;5;0;4;False
2022-04-10;0;85;6;0;4;False
2022-04-17;0;82;6;0;4;False
2022-04-24;0;80;5;0;4;False
2022-05-01;0;91;7;0;5;False
2022-05-08;0;94;5;0;5;False
2022-05-15;0;85;7;0;5;False
2022-05-22;0;83;8;0;5;False
2022-05-29;0;86;8;0;5;False
2022-06-05;0;75;7;1;5;False
2022-06-12;0;85;8;0;5;False
2022-06-19;1;81;8;0;4;False
2022-06-26;1;75;7;0;5;False
2022-07-03;1;78;6;0;5;False
2022-07-10;1;87;5;0;5;False
2022-07-17;2;76;7;0;5;False
2022-07-24;0;80;6;0;5;False
2022-07-31;0;74;6;0;4;False
2022-08-07;1;71;7;0;4;False
2022-08-14;0;67;6;0;4;False
2022-08-21;0;74;6;0;4;False
2022-08-28;0;79;6;0;4;False
2022-09-04;0;81;6;0;4;False
2022-09-11;0;84;6;0;4;False
2022-09-18;0;86;6;0;3;False
2022-09-25;0;92;9;0;4;False
2022-10-02;0;86;5;0;3;False
2022-10-09;0;82;5;0;3;False
2022-10-16;1;73;5;0;3;False
2022-10-23;1;84;15;0;3;False
2022-10-30;0;73;10;0;3;False
2022-11-06;2;79;9;1;3;False
2022-11-13;1;80;7;0;3;False
2022-11-20;2;100;6;0;3;False
2022-11-27;3;87;5;1;3;False
2022-12-04;18;88;4;0;3;False
2022-12-11;2;94;5;0;3;False
2022-12-18;1;78;7;0;3;False
2022-12-25;1;90;7;0;3;False
2023-01-01;0;64;5;0;4;False
2023-01-08;1;55;5;0;4;False
2023-01-15;4;62;5;0;4;False
2023-01-22;1;59;5;0;3;False
2023-01-29;2;58;6;0;4;False
