date;Philosophy books;Music;Childbirth;Squid Game;air travel;isPartial
2022-01-02;0;88;1;4;1;False
2022-01-09;0;91;1;3;1;False
2022-01-16;0;82;0;3;1;False
2022-01-23;0;88;0;2;1;False
2022-01-30;0;100;1;3;1;False
2022-02-06;0;94;0;2;1;False
2022-02-13;0;84;1;2;1;False
2022-02-20;0;88;1;2;1;False
2022-02-27;0;88;0;2;1;False
2022-03-06;0;92;0;2;1;False
2022-03-13;0;92;0;1;1;False
2022-03-20;0;95;0;2;1;False
2022-03-27;0;94;1;2;1;False
2022-04-03;0;88;1;2;1;False
2022-04-10;0;90;1;2;1;False
2022-04-17;0;84;0;1;1;False
2022-04-24;0;91;0;1;1;False
2022-05-01;0;98;0;1;1;False
2022-05-08;0;92;0;1;1;False
2022-05-15;0;92;1;1;1;False
2022-05-22;0;89;0;1;1;False
2022-05-29;0;89;0;1;1;False
2022-06-05;0;92;0;1;1;False
2022-06-12;0;90;0;6;1;False
2022-06-19;0;96;0;2;1;False
2022-06-26;0;97;0;1;1;False
2022-07-03;0;92;0;1;1;False
2022-07-10;0;85;0;1;1;False
2022-07-17;0;88;1;1;1;False
2022-07-24;0;87;1;1;1;False
2022-07-31;0;80;0;1;1;False
2022-08-07;0;79;0;1;1;False
2022-08-14;0;74;0;1;1;False
2022-08-21;0;84;0;1;1;False
2022-08-28;0;82;1;1;1;False
2022-09-04;0;90;0;1;1;False
2022-09-11;0;86;0;2;1;False
2022-09-18;0;93;1;2;1;False
2022-09-25;0;92;0;2;1;False
2022-10-02;0;90;0;2;1;False
2022-10-09;0;100;1;2;1;False
2022-10-16;0;86;0;1;1;False
2022-10-23;0;86;0;2;1;False
2022-10-30;0;90;1;1;1;False
2022-11-06;0;97;0;1;1;False
2022-11-13;0;93;0;1;1;False
2022-11-20;0;84;0;1;1;False
2022-11-27;0;99;0;1;1;False
2022-12-04;0;92;0;1;1;False
2022-12-11;0;87;0;1;1;False
2022-12-18;0;87;0;1;1;False
2022-12-25;0;86;0;1;1;False
2023-01-01;0;91;1;1;1;False
2023-01-08;0;88;0;1;1;False
2023-01-15;0;93;1;1;1;False
2023-01-22;0;94;0;2;1;False
2023-01-29;0;93;0;1;1;False
