date;Nutrition;Kae Tempest;lula da silva;Burnley;air travel;isPartial
2022-01-02;21;0;0;48;4;False
2022-01-09;23;1;0;39;4;False
2022-01-16;21;1;0;40;3;False
2022-01-23;21;1;0;54;3;False
2022-01-30;22;1;0;42;4;False
2022-02-06;21;0;0;66;4;False
2022-02-13;22;0;0;58;4;False
2022-02-20;21;0;0;60;4;False
2022-02-27;22;0;0;48;3;False
2022-03-06;24;1;0;36;4;False
2022-03-13;20;1;0;29;4;False
2022-03-20;20;0;0;28;4;False
2022-03-27;21;0;0;38;4;False
2022-04-03;20;1;0;64;3;False
2022-04-10;17;1;0;57;3;False
2022-04-17;18;1;0;88;3;False
2022-04-24;19;1;0;83;3;False
2022-05-01;0;1;0;52;4;False
2022-05-08;20;1;0;47;4;False
2022-05-15;18;1;0;100;4;False
2022-05-22;17;0;0;69;4;False
2022-05-29;16;2;0;30;4;False
2022-06-05;0;1;0;32;4;False
2022-06-12;18;0;0;35;4;False
2022-06-19;0;2;0;33;3;False
2022-06-26;17;1;0;34;4;False
2022-07-03;17;0;0;35;4;False
2022-07-10;17;0;0;36;4;False
2022-07-17;17;1;0;37;4;False
2022-07-24;18;0;0;55;4;False
2022-07-31;0;0;0;42;3;False
2022-08-07;17;0;0;44;3;False
2022-08-14;16;0;0;44;3;False
2022-08-21;16;0;0;42;3;False
2022-08-28;16;0;0;51;3;False
2022-09-04;16;0;0;30;3;False
2022-09-11;17;0;0;39;3;False
2022-09-18;16;0;0;29;3;False
2022-09-25;16;0;0;29;3;False
2022-10-02;17;0;1;35;3;False
2022-10-09;17;0;0;32;3;False
2022-10-16;0;0;0;36;2;False
2022-10-23;16;0;0;40;2;False
2022-10-30;16;0;2;42;2;False
2022-11-06;17;0;0;35;2;False
2022-11-13;17;0;0;40;2;False
2022-11-20;16;0;0;23;3;False
2022-11-27;0;0;0;23;2;False
2022-12-04;14;0;0;24;2;False
2022-12-11;0;0;0;37;2;False
2022-12-18;13;0;0;63;2;False
2022-12-25;0;0;0;50;3;False
2023-01-01;19;0;0;44;3;False
2023-01-08;21;0;0;38;3;False
2023-01-15;21;0;0;56;3;False
2023-01-22;20;0;0;48;3;False
2023-01-29;21;0;0;42;3;False
