date;UCL Institute of Education;The Darkness;Florence + the Machine;marks and spencer;air travel;isPartial
2022-01-02;0;1;20;67;2;False
2022-01-09;0;1;17;58;2;False
2022-01-16;0;1;17;48;2;False
2022-01-23;0;2;18;52;2;False
2022-01-30;0;2;17;51;2;False
2022-02-06;0;1;16;53;2;False
2022-02-13;0;1;16;45;2;False
2022-02-20;0;1;19;47;2;False
2022-02-27;0;3;18;49;2;False
2022-03-06;0;2;19;52;2;False
2022-03-13;0;2;22;52;2;False
2022-03-20;0;1;21;57;2;False
2022-03-27;0;2;19;51;2;False
2022-04-03;0;1;19;49;2;False
2022-04-10;0;1;19;58;1;False
2022-04-17;0;1;20;54;2;False
2022-04-24;0;1;20;49;2;False
2022-05-01;0;1;21;55;2;False
2022-05-08;0;1;21;50;2;False
2022-05-15;0;1;22;51;2;False
2022-05-22;0;1;24;52;2;False
2022-05-29;0;1;21;62;2;False
2022-06-05;0;1;20;56;2;False
2022-06-12;0;2;20;53;2;False
2022-06-19;0;1;19;51;2;False
2022-06-26;0;1;19;52;2;False
2022-07-03;0;1;18;56;2;False
2022-07-10;0;1;32;56;2;False
2022-07-17;0;1;23;53;2;False
2022-07-24;0;1;19;59;2;False
2022-07-31;0;1;20;55;2;False
2022-08-07;0;1;22;51;2;False
2022-08-14;0;1;21;47;2;False
2022-08-21;0;1;22;51;1;False
2022-08-28;0;2;22;55;1;False
2022-09-04;0;1;27;50;2;False
2022-09-11;0;2;22;52;1;False
2022-09-18;0;1;22;53;1;False
2022-09-25;0;1;21;61;1;False
2022-10-02;0;2;22;61;1;False
2022-10-09;0;2;21;58;1;False
2022-10-16;0;1;22;54;1;False
2022-10-23;0;1;22;56;1;False
2022-10-30;0;1;21;65;1;False
2022-11-06;0;1;23;67;1;False
2022-11-13;0;1;27;71;1;False
2022-11-20;0;1;21;74;1;False
2022-11-27;0;2;19;83;1;False
2022-12-04;0;2;20;87;1;False
2022-12-11;0;2;20;87;1;False
2022-12-18;0;2;18;100;1;False
2022-12-25;0;1;18;94;1;False
2023-01-01;0;4;20;58;2;False
2023-01-08;0;2;21;48;1;False
2023-01-15;0;1;19;48;1;False
2023-01-22;0;2;20;45;1;False
2023-01-29;0;2;25;44;1;False
