date;Higher education policy;Morecambe;Wrexham;Charli XCX;air travel;isPartial
2022-01-02;0;11;20;0;2;False
2022-01-09;0;21;17;1;3;False
2022-01-16;0;10;16;1;2;False
2022-01-23;0;9;24;1;2;False
2022-01-30;0;11;18;1;3;False
2022-02-06;0;9;17;1;3;False
2022-02-13;0;9;21;1;3;False
2022-02-20;0;10;22;1;3;False
2022-02-27;0;8;21;1;2;False
2022-03-06;0;8;21;2;3;False
2022-03-13;0;8;21;3;2;False
2022-03-20;0;8;29;3;2;False
2022-03-27;0;8;26;2;3;False
2022-04-03;0;9;29;1;2;False
2022-04-10;0;9;25;1;2;False
2022-04-17;0;9;27;1;2;False
2022-04-24;0;10;22;1;2;False
2022-05-01;0;9;26;1;2;False
2022-05-08;0;8;30;1;2;False
2022-05-15;0;8;29;3;3;False
2022-05-22;0;8;57;1;2;False
2022-05-29;0;10;24;1;2;False
2022-06-05;0;9;18;1;3;False
2022-06-12;0;9;19;1;2;False
2022-06-19;0;9;18;1;2;False
2022-06-26;0;9;19;2;2;False
2022-07-03;0;10;18;1;3;False
2022-07-10;0;10;20;1;3;False
2022-07-17;0;10;22;1;3;False
2022-07-24;0;11;27;1;2;False
2022-07-31;0;10;23;1;2;False
2022-08-07;0;11;23;1;2;False
2022-08-14;0;10;24;1;2;False
2022-08-21;0;10;38;1;2;False
2022-08-28;0;10;42;3;2;False
2022-09-04;0;9;36;1;2;False
2022-09-11;0;9;38;1;2;False
2022-09-18;0;9;34;0;2;False
2022-09-25;0;8;35;0;2;False
2022-10-02;0;8;40;0;2;False
2022-10-09;0;8;40;0;2;False
2022-10-16;0;9;39;0;2;False
2022-10-23;0;8;34;0;1;False
2022-10-30;0;9;30;0;1;False
2022-11-06;0;8;39;0;2;False
2022-11-13;0;7;27;0;1;False
2022-11-20;0;7;24;0;2;False
2022-11-27;0;6;23;0;2;False
2022-12-04;0;7;24;0;1;False
2022-12-11;0;7;23;1;1;False
2022-12-18;0;10;28;1;1;False
2022-12-25;0;11;26;0;2;False
2023-01-01;0;9;40;0;2;False
2023-01-08;0;8;39;1;2;False
2023-01-15;0;9;31;1;2;False
2023-01-22;0;9;33;1;2;False
2023-01-29;0;9;100;1;2;False
