date;menopause;Queen Camilla;Winter food and drink;Aberystwyth University;air travel;isPartial
2022-01-02;34;1;0;1;7;False
2022-01-09;41;1;0;2;8;False
2022-01-16;37;0;0;1;6;False
2022-01-23;36;0;0;2;7;False
2022-01-30;43;2;0;1;8;False
2022-02-06;37;8;0;1;8;False
2022-02-13;34;1;0;1;8;False
2022-02-20;38;1;0;2;8;False
2022-02-27;34;0;0;1;7;False
2022-03-06;37;0;0;2;7;False
2022-03-13;35;0;0;1;7;False
2022-03-20;36;1;0;2;7;False
2022-03-27;34;1;0;1;7;False
2022-04-03;32;0;0;1;7;False
2022-04-10;32;1;0;1;6;False
2022-04-17;35;0;0;1;6;False
2022-04-24;53;0;0;1;7;False
2022-05-01;100;1;0;1;7;False
2022-05-08;50;1;0;1;7;False
2022-05-15;52;1;0;1;7;False
2022-05-22;46;1;0;2;7;False
2022-05-29;35;4;0;1;7;False
2022-06-05;42;2;0;1;8;False
2022-06-12;46;1;0;1;7;False
2022-06-19;40;0;0;1;6;False
2022-06-26;40;0;0;1;7;False
2022-07-03;38;1;0;2;7;False
2022-07-10;35;1;0;2;8;False
2022-07-17;33;0;0;1;7;False
2022-07-24;44;0;0;1;7;False
2022-07-31;49;0;0;1;6;False
2022-08-07;42;0;0;1;6;False
2022-08-14;46;0;0;2;6;False
2022-08-21;57;0;0;2;5;False
2022-08-28;47;0;0;1;6;False
2022-09-04;53;38;0;2;6;False
2022-09-11;47;27;0;2;5;False
2022-09-18;41;21;0;2;5;False
2022-09-25;42;3;0;2;5;False
2022-10-02;56;2;0;2;5;False
2022-10-09;60;6;0;2;5;False
2022-10-16;71;2;0;2;5;False
2022-10-23;57;2;0;2;4;False
2022-10-30;52;3;0;1;4;False
2022-11-06;45;3;0;2;5;False
2022-11-13;42;3;0;1;4;False
2022-11-20;34;2;0;1;5;False
2022-11-27;36;6;0;1;5;False
2022-12-04;32;1;0;1;4;False
2022-12-11;29;1;0;1;4;False
2022-12-18;30;2;0;1;4;False
2022-12-25;31;2;0;1;5;False
2023-01-01;38;1;0;1;6;False
2023-01-08;39;2;0;1;6;False
2023-01-15;39;1;0;2;5;False
2023-01-22;53;1;0;2;5;False
2023-01-29;44;1;0;2;5;False
