date;Global development;Pope Francis;Transgender;Twenty20;air travel;isPartial
2022-01-02;5;20;53;2;29;False
2022-01-09;4;11;55;1;31;False
2022-01-16;5;7;50;1;24;False
2022-01-23;4;8;51;1;27;False
2022-01-30;2;8;55;0;30;False
2022-02-06;4;7;46;0;31;False
2022-02-13;4;5;48;1;31;False
2022-02-20;5;8;48;1;31;False
2022-02-27;4;11;41;0;27;False
2022-03-06;4;9;40;1;29;False
2022-03-13;6;9;46;0;29;False
2022-03-20;4;13;65;1;28;False
2022-03-27;4;7;79;1;30;False
2022-04-03;5;6;70;1;27;False
2022-04-10;3;10;59;0;23;False
2022-04-17;3;13;53;1;26;False
2022-04-24;4;7;55;1;27;False
2022-05-01;4;10;54;0;28;False
2022-05-08;5;9;66;2;29;False
2022-05-15;5;10;48;2;30;False
2022-05-22;4;6;44;2;28;False
2022-05-29;4;7;46;1;29;False
2022-06-05;4;100;60;2;32;False
2022-06-12;3;10;48;2;28;False
2022-06-19;3;9;70;1;26;False
2022-06-26;3;8;60;2;28;False
2022-07-03;4;6;76;2;29;False
2022-07-10;3;5;60;2;30;False
2022-07-17;4;6;52;1;29;False
2022-07-24;3;15;54;2;29;False
2022-07-31;3;9;49;1;26;False
2022-08-07;2;5;42;0;25;False
2022-08-14;3;4;39;1;25;False
2022-08-21;2;5;37;1;21;False
2022-08-28;3;7;44;1;24;False
2022-09-04;3;11;49;0;25;False
2022-09-11;2;10;43;1;22;False
2022-09-18;3;12;48;1;21;False
2022-09-25;3;7;42;1;22;False
2022-10-02;4;8;38;1;21;False
2022-10-09;4;7;42;1;20;False
2022-10-16;4;7;43;2;18;False
2022-10-23;4;7;64;3;17;False
2022-10-30;4;5;45;4;17;False
2022-11-06;6;7;50;4;19;False
2022-11-13;7;7;50;2;16;False
2022-11-20;4;6;42;0;20;False
2022-11-27;4;8;48;0;19;False
2022-12-04;4;6;48;0;16;False
2022-12-11;4;18;43;1;17;False
2022-12-18;2;10;66;1;16;False
2022-12-25;2;66;49;0;21;False
2023-01-01;4;53;46;1;24;False
2023-01-08;5;10;42;1;23;False
2023-01-15;5;7;64;1;22;False
2023-01-22;4;14;80;1;20;False
2023-01-29;4;9;67;1;22;False
